Timestamp,What ZIP code do you live in?,Age?,Which best describes your employment status? ,What is your current housing situation? (select all that apply),What type of dwelling do you currently live in? (select all that apply),How would you rate the affordability of housing in your area?,What is your largest housing-related concern?,Please rate your awareness of public & city issues in the San Antonio area.,"In your current district, what concerns do you have related to job prospects, workforce opportunities, and other areas of economic development? (select all that apply)","Are there opportunities for investment, career growth, and job opportunities in your district? (If possible, please expand on your answer choice in ""Other"")",Which of the following do you believe is the biggest barrier to stable employment in San Antonio? (select all that apply),What types of job training or workforce programs would you most like to see expanded? (select all that apply),"Do you think partnerships between local government and private companies (such as developers or tech firms) help create more jobs and boost the economy in San Antonio? (If possible, please expand on your answer choice in ""Other"")",What is your primary mode of transportation?,How satisfied are you with public transportation in San Antonio?,Which transportation improvements would most benefit your daily life?  (select all that apply),What's a public service or resource your neighborhood is currently lacking? (select all that apply),Do you frequent downtown San Antonio? ,What aspects of San Antonio make you optimistic?,What perspective do you have about development regarding the San Antonio sports and entertainment district?,What should be a top priority for San Antonio's growth? ,How connected do you feel to decision-making in your neighborhood or city?,"How accessible are public community spaces in your district? (ex. Parks, Libraries, Community Centers, etc.)",What types of local businesses or services do you wish existed in your neighborhood but don’t?,Feel free to share any other experiences or opinions as a citizen of your district and San Antonio: (Free Response)
6/25/2025 14:34:23,78212,35–44,Employed full-time,Owning a home or condo,Single-family house,3,Rising rent and/or high housing costs,3,Low wages,Yes,"Lack of job opportunities, Low wages, Inadequate training or education programs, Childcare or eldercare responsibilities",Trade or vocational training,Maybe,Personal Vehicle,Neutral,"More sidewalks, Safer streets","Safe parks or green spaces, Affordable child or elder care, Mental health or healthcare services, Youth programming, Job centers or business support",Sometimes,"Access to top-tier universities and research institutions, Low cost of living",Positive,Small business development,Somewhat connected,6,"Healthcare services, Child care/senior care, Financial services",
6/25/2025 14:35:32,78212,18–24,Student,Living with family or friends (not as a renter or owner),Single-family house,3,Rising rent and/or high housing costs,3,Low wages,No,Childcare or eldercare responsibilities,Healthcare or caregiving roles,Yes,Personal Vehicle,Neutral,Safer streets,Safe parks or green spaces,No,"Arts, entertainment, music",Positive,Affordable housing,Somewhat connected,5,"Restaurants/cafes, Healthcare services, Child care/senior care, Financial services",
6/25/2025 14:36:06,78249,25–34,Employed full-time,Renting an apartment or house,Apartment in a low-rise building (1-3 stories),4,Rising rent and/or high housing costs,5,"Low wages, High cost of living",Unsure,"Low wages, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, English language or GED programs",Maybe,Personal Vehicle,Very satisfied,"Expanded routes or better coverage, More sidewalks, Reduced traffic congestion","Affordable child or elder care, Mental health or healthcare services, Youth programming",Sometimes,"San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Low cost of living",,Affordable housing,Not very connected,9,"Child care/senior care, Financial services",
6/25/2025 14:54:56,78259,45–54,Employed full-time,Owning a home or condo,Single-family house,3,Rising rent and/or high housing costs,3,Lack of diversity in retail & consumerism,Yes,Inadequate training or education programs,"Tech and digital skills, Soft skills",Yes,Personal Vehicle,Somewhat satisfied,Expanded routes or better coverage,"Access to fresh food/grocery stores, Affordable child or elder care, Mental health or healthcare services, Job centers or business support",Sometimes,"Arts, entertainment, music, San Antonio International Airport Expansion, Larger military presence, Low cost of living",Positive,Public safety,Very connected,3,"Grocery stores, Restaurants/cafes, Healthcare services, Financial services",None
6/25/2025 14:55:02,78259,18–24,Student,"Living with family or friends (not as a renter or owner), Student housing or dormitory",Single-family house,3,Rising rent and/or high housing costs,3,"Lack of diversity in retail & consumerism, Lack of long-term investment opportunities",No,"Lack of job opportunities, Low wages","Green jobs/sustainability sectors, Soft skills",Maybe,Personal Vehicle,Very dissatisfied,"Expanded routes or better coverage, Reduced traffic congestion",Public transit options,No,"Arts, entertainment, music, Access to top-tier universities and research institutions",Neutral,Small business development,Not very connected,9,"Coworking spaces, Other",
6/25/2025 14:59:58,78249,25–34,Employed full-time,Renting an apartment or house,Apartment in a mid-rise or high-rise apartment (4+ stories),4,"Rising rent and/or high housing costs, Limited availability of housing, Poor housing quality, Displacement/gentrification, Lack of homeownership opportunities",2,"Not enough job opportunities, Lack of diversity in retail & consumerism, Low wages, Lack of long-term investment opportunities, High cost of living",Yes,"Lack of job opportunities, Low wages, Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities, Language or immigration barriers","Healthcare or caregiving roles, Apprenticeships, English language or GED programs","They can be done appropriately however it is very hard to do so with it strict guidelines and contracts. Involving private companies in public interest can be tricky to do as private companies are more then likely looking for a profit, which is a different interest then what the local government may be looking for. The goals need to be properly aligned and boundaries need to be set between both parties",Personal Vehicle,Somewhat dissatisfied,"More frequent bus service, Reduced traffic congestion, Safer streets","Affordable child or elder care, Mental health or healthcare services, Youth programming",Yes,"Arts, entertainment, music, Growing Tech Hub scene, Access to top-tier universities and research institutions, Larger military presence",Positive,Education and youth programs,Neutral,9,Coworking spaces,"People in San Antonio care deeply about this city, and maintain pride in it. I think one thing in regards to development that scares them is the idea that development in San Antonio can mean losing the culture here. I know that there are multiple ways in order for the government to maintain and respect the San Antonio culture, and I believe if done appropriately then the citizens would not be so opposed to the changes that need to be done in order to help this city grow and develop.  "
6/25/2025 15:34:36,78023,18–24,Employed part-time,Living with family or friends (not as a renter or owner),Single-family house,4,No housing concerns,2,"Older or small workforce base, High cost of living",Many retail and food places near,Inadequate training or education programs,"Green jobs/sustainability sectors, Healthcare or caregiving roles",Yes,Personal Vehicle,I don't use public transportation,"Expanded routes or better coverage, Reduced traffic congestion, Safer streets, Lower transportation costs",Safe parks or green spaces,Sometimes,"Growing Tech Hub scene, Access to top-tier universities and research institutions, Larger military presence",Neutral,Climate resilience/sustainability,Somewhat connected,8,Other,"I believe San Antonio needs better access to nature parks, rather than installing a playground and calling it a park."
6/25/2025 15:35:18,78255,18–24,Employed full-time,Living with family or friends (not as a renter or owner),Single-family house,4,No housing concerns,3,"Low wages, Lack of long-term investment opportunities, High cost of living",Unsure,"Low wages, Transportation challenges, Childcare or eldercare responsibilities, Language or immigration barriers","Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, Soft skills, English language or GED programs",Yes,Personal Vehicle,Somewhat dissatisfied,"More frequent bus service, Expanded routes or better coverage, Safer streets, Lower transportation costs","Public transit options, Affordable child or elder care, Mental health or healthcare services, Job centers or business support",No,"Arts, entertainment, music, Growing Tech Hub scene, Access to top-tier universities and research institutions, Low cost of living",Neutral,Public transit and walkability,Neutral,5,"Child care/senior care, Financial services, Coworking spaces",
6/25/2025 15:37:24,78023,18–24,Employed part-time,Living with family or friends (not as a renter or owner),Single-family house,3,Rising rent and/or high housing costs,3,"Not enough job opportunities, Low wages, High cost of living",Unsure,"Lack of job opportunities, Inadequate training or education programs","Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, Soft skills",Maybe,Personal Vehicle,Somewhat satisfied,"More sidewalks, Reduced traffic congestion",Job centers or business support,Yes,"Arts, entertainment, music, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Larger military presence",Positive,Arts and culture investments,Somewhat connected,8,Coworking spaces,
6/25/2025 15:37:45,78023,18–24,Employed full-time,Living with family or friends (not as a renter or owner),Single-family house,2,Rising rent and/or high housing costs,2,"Low wages, Lack of long-term investment opportunities, High cost of living",Unsure,Low wages,Not interested,Maybe,Personal Vehicle,Neutral,"More sidewalks, Reduced traffic congestion",Youth programming,No,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions",Neutral,Affordable housing,Neutral,10,Financial services,
6/25/2025 15:40:42,78249,18–24,Employed part-time,Living with family or friends (not as a renter or owner),Single-family house,3,Rising rent and/or high housing costs,3,Low wages,Unsure,"Low wages, Transportation challenges, Language or immigration barriers","Trade or vocational training, Tech and digital skills, Apprenticeships",Unsure,Personal Vehicle,I don't use public transportation,"Reduced traffic congestion, Safer streets",Job centers or business support,Sometimes,"Arts, entertainment, music",Neutral,Public safety,Not very connected,8,"Grocery stores, Restaurants/cafes",
6/25/2025 15:54:26,78015,18–24,Student,"Living with family or friends (not as a renter or owner), Student housing or dormitory","Single-family house, Apartment in a mid-rise or high-rise apartment (4+ stories)",4,Rising rent and/or high housing costs,3,High cost of living,Yes,Inadequate training or education programs,"Healthcare or caregiving roles, Soft skills",Maybe,Personal Vehicle,I don't use public transportation,"More sidewalks, Reduced traffic congestion, Safer streets, Lower transportation costs",Affordable child or elder care,Sometimes,"Arts, entertainment, music, San Antonio International Airport Expansion, Access to top-tier universities and research institutions",Not familiar with current development plans,Public transit and walkability,Not very connected,9,Child care/senior care,
6/25/2025 16:03:00,78258,18–24,Employed full-time,Living with family or friends (not as a renter or owner),Single-family house,3,Rising rent and/or high housing costs,2,"Not enough job opportunities, Low wages",Unsure,"Lack of job opportunities, Low wages, Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors",Yes,Personal Vehicle,Somewhat satisfied,"Expanded routes or better coverage, More sidewalks, Reduced traffic congestion, Safer streets","Youth programming, Job centers or business support",Sometimes,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Low cost of living",Neutral,Job creation,Somewhat connected,8,"Restaurants/cafes, Healthcare services, Child care/senior care",
6/25/2025 16:09:01,78256,25–34,Employed full-time,Renting an apartment or house,Apartment in a low-rise building (1-3 stories),2,Rising rent and/or high housing costs,3,Not enough job opportunities,Unsure,Lack of job opportunities,Tech and digital skills,Yes,VIA bus,Somewhat satisfied,"More frequent bus service, More sidewalks, Safer streets","Access to fresh food/grocery stores, Safe parks or green spaces",Yes,"Arts, entertainment, music, Growing Tech Hub scene",Neutral,Job creation,Somewhat connected,8,"Grocery stores, Restaurants/cafes, Coworking spaces",
6/25/2025 16:17:39,78249,18–24,Student,Living with family or friends (not as a renter or owner),Single-family house,3,"Rising rent and/or high housing costs, Poor housing quality",3,Low wages,Yes,"Transportation challenges, Childcare or eldercare responsibilities, Language or immigration barriers","Trade or vocational training, Green jobs/sustainability sectors, Apprenticeships",Maybe,Personal Vehicle,Very dissatisfied,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Reduced traffic congestion, Lower transportation costs","Safe parks or green spaces, Public transit options",No,"Arts, entertainment, music, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Low cost of living",Negative,Public transit and walkability,Somewhat connected,9,Coworking spaces,"As a rapidly expanding, evolving city, along with growing prospects regarding downtown developments, I believe that one of San Antonio’s utmost priorities should be to expand our public transport options and improve the VIA Bus Transportation Network. I say this from the perspective of a San Antonio suburb native, who would like to see more options aside from personal vehicle transport and excessive reliance on our highway systems. "
6/25/2025 16:24:19,78259,18–24,Employed full-time,Living with family or friends (not as a renter or owner),Single-family house,3,Rising rent and/or high housing costs,3,"Not enough job opportunities, Older or small workforce base, Lack of long-term investment opportunities",Yes,"Inadequate training or education programs, Transportation challenges","Trade or vocational training, Tech and digital skills, Apprenticeships",Yes,Personal Vehicle,I don't use public transportation,"Expanded routes or better coverage, Reduced traffic congestion, Safer streets, Lower transportation costs","Safe parks or green spaces, Public transit options",Sometimes,"Growing Tech Hub scene, San Antonio International Airport Expansion",Negative,Arts and culture investments,Not very connected,6,Coworking spaces,
6/25/2025 16:26:05,78023,18–24,Employed full-time,Living with family or friends (not as a renter or owner),Single-family house,3,Displacement/gentrification,4,"Low wages, High cost of living",Yes,Lack of job opportunities,"Tech and digital skills, Soft skills",Yes,Personal Vehicle,I don't use public transportation,"Expanded routes or better coverage, Reduced traffic congestion","Public transit options, Job centers or business support",Yes,"Arts, entertainment, music, San Antonio International Airport Expansion",Negative,Public transit and walkability,Somewhat connected,10,Coworking spaces,
6/25/2025 16:29:35,78256,25–34,Student,Renting an apartment or house,Apartment in a low-rise building (1-3 stories),3,"Rising rent and/or high housing costs, Poor housing quality, Displacement/gentrification",4,"Not enough job opportunities, Low wages, Older or small workforce base, Lack of long-term investment opportunities, High cost of living",Yes,"Lack of job opportunities, Low wages, Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, Soft skills, English language or GED programs",Yes,VIA bus,Somewhat satisfied,"More frequent bus service, Expanded routes or better coverage, Safer streets","Access to fresh food/grocery stores, Safe parks or green spaces, Public transit options, Affordable child or elder care, Youth programming",Sometimes,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Low cost of living",Neutral,Education and youth programs,Somewhat connected,8,"Grocery stores, Restaurants/cafes, Healthcare services, Child care/senior care, Financial services, Coworking spaces",
6/25/2025 16:51:34,78202,18–24,Student,Living with family or friends (not as a renter or owner),Single-family house,4,"Rising rent and/or high housing costs, Displacement/gentrification, Lack of homeownership opportunities",2,"Not enough job opportunities, Lack of diversity in retail & consumerism, Low wages, Older or small workforce base, Lack of long-term investment opportunities","There is lots of opportunity for investment in infrastructure, affordable housing development, room for green space, and investment for transportation renovations. ","Lack of job opportunities, Low wages, Transportation challenges, Childcare or eldercare responsibilities, Language or immigration barriers","Trade or vocational training, Healthcare or caregiving roles, Apprenticeships, English language or GED programs","These entities do help create jobs and expand on economic development, however it only focuses on a certain demographic. The issue lies in underserved communities not having the same level of education and access to healthcare+job markets due to the city’s lack of investment. Specifically talking about the East Side, as district 2 resident.   There needs to be an emphasis on nurturing the relationships between said entities and the East Side community for residents to learn & engage in these activities. Also find a way to target the youth in these areas to make it accessible for them to be part of the conversation, development process, and learn to escape systemic poverty. ",Personal Vehicle,Somewhat dissatisfied,"More frequent bus service, Reduced traffic congestion, Safer streets","Safe parks or green spaces, Public transit options, Affordable child or elder care, Mental health or healthcare services, Job centers or business support",Yes,"Arts, entertainment, music, Growing Tech Hub scene, Access to top-tier universities and research institutions, Low cost of living",Negative,Public transit and walkability,Somewhat connected,4,"Healthcare services, Child care/senior care, Financial services","This survey should not display that I’m not opposed to economic development from private investment or the startup world. The issues I see in my community were highlighted here. There are bigger issues that need more time & attention to enhance community coalitions & connectivity. There is a hierarchy in priority, and community security is often overlooked in underserved areas of SA."
6/25/2025 17:04:17,78249,18–24,Student,Living with family or friends (not as a renter or owner),Single-family house,3,"Limited availability of housing, Displacement/gentrification",2,"Lack of long-term investment opportunities, High cost of living",Unsure,"Lack of job opportunities, Childcare or eldercare responsibilities, Language or immigration barriers","Green jobs/sustainability sectors, Healthcare or caregiving roles, English language or GED programs",Yes,Personal Vehicle,Somewhat satisfied,More sidewalks,Affordable child or elder care,No,"Arts, entertainment, music",Not familiar with current development plans,Climate resilience/sustainability,Not connected at all,9,Child care/senior care,"San Antonio truly needs to build up their climate resilience. While there are non profits advocating for climate action, they are very small and need to be expanded. Texas is facing deep consequences as global warming heightens, especially when it comes to our intense heat waves. In order to grow in other urban development spheres, we need to ensure that we will still have a healthy and safe population to work with as priority. If these effects aren’t mitigated, then we very likely won’t have a city to work with at all."
6/25/2025 17:08:43,78249,18–24,Student,Living with family or friends (not as a renter or owner),Single-family house,3,"Limited availability of housing, Poor housing quality, Displacement/gentrification",2,Not enough job opportunities,Unsure,Lack of job opportunities,"Tech and digital skills, Green jobs/sustainability sectors",Yes,Carpool,Very dissatisfied,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Safer streets, Lower transportation costs","Safe parks or green spaces, Public transit options",No,"Arts, entertainment, music, San Antonio International Airport Expansion, Access to top-tier universities and research institutions",Positive,Public transit and walkability,Neutral,2,Restaurants/cafes,I would love to see a walkable city! Walking instead of staying in cars is healthy! 
6/25/2025 17:27:42,78249,18–24,Student,Renting an apartment or house,Apartment in a low-rise building (1-3 stories),4,Rising rent and/or high housing costs,4,"Not enough job opportunities, Low wages, High cost of living",Unsure,Lack of job opportunities,"Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors",Yes,Personal Vehicle,Somewhat dissatisfied,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Safer streets","Public transit options, Mental health or healthcare services, Youth programming",No,"Arts, entertainment, music",Neutral,Job creation,Not very connected,5,"Financial services, Coworking spaces",
6/25/2025 18:04:06,78023,45–54,Employed full-time,Owning a home or condo,Single-family house,5,Rising rent and/or high housing costs,3,High cost of living,Yes,Inadequate training or education programs,Trade or vocational training,Yes,Personal Vehicle,I don't use public transportation,Reduced traffic congestion,Job centers or business support,Sometimes,San Antonio International Airport Expansion,Negative,Education and youth programs,Not very connected,8,Healthcare services,
6/25/2025 18:05:19,78023,55–64,Employed full-time,Owning a home or condo,Single-family house,4,Rising rent and/or high housing costs,4,"Older or small workforce base, High cost of living",Unsure,"Lack of job opportunities, Low wages","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships",Maybe,Personal Vehicle,Neutral,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Reduced traffic congestion, Safer streets, Lower transportation costs","Affordable child or elder care, Job centers or business support",Yes,"Arts, entertainment, music, San Antonio International Airport Expansion, Access to top-tier universities and research institutions",Positive,Affordable housing,Somewhat connected,10,"Financial services, Coworking spaces","San Antonio should be a dominant economic destination for international ties to south and Central America with world class education,  business,  media, and tourism. "
6/25/2025 18:29:46,78249,18–24,Student,Living with family or friends (not as a renter or owner),Single-family house,2,"Rising rent and/or high housing costs, Lack of homeownership opportunities",3,"Not enough job opportunities, High cost of living",No,"Low wages, Transportation challenges, High competition for similar jobs","Trade or vocational training, Tech and digital skills, Apprenticeships","I  think so, if local government is willing to offer support financially and make laws where doing business here is welcoming (be transparent with business owners too). Private companies must have control over what they can do though.",family/friend provided transportation,Somewhat dissatisfied,"More frequent bus service, Reduced traffic congestion, Safer streets","Mental health or healthcare services, Job centers or business support",No,"Arts, entertainment, music, Growing Tech Hub scene, Access to top-tier universities and research institutions",Negative,Job creation,Somewhat connected,10,Coworking spaces,"I really love living in District 8 as there are a ton of stores, parks, and places to eat. I frequently hang out with those my age on this side of town. The only problem is that most people I know don't work in this area, leaving me to think there are not many high-paying jobs in District 8. Great if you want to work in retail, though or hospitality."
6/25/2025 19:07:50,78249,65 or older,Retired,Owning a home or condo,Single-family house,3,No housing concerns,1,High cost of living,Unsure,Inadequate training or education programs,Trade or vocational training,Yes,Personal Vehicle,Somewhat dissatisfied,Reduced traffic congestion,Affordable child or elder care,Sometimes,Growing Tech Hub scene,Positive,Job creation,Neutral,7,Other,
6/25/2025 20:04:28,78251,65 or older,Retired,Owning a home or condo,Single-family house,4,Rising rent and/or high housing costs,3,"Lack of diversity in retail & consumerism, Depending on your ethnicity, you got to apply for certain jobs because not all jobs will take you. Because they're prejudice certain ethnicities like Mexican ",No,"Lack of job opportunities, Inadequate training or education programs, Language or immigration barriers","Tech and digital skills, Apprenticeships, Soft skills","No. Some private companies only want a certain education or know so much before they even consider you. They ask for your education and you don't have it, they don't even want you. This is a vast majority of San Antonio. They will ask what's the highest education you have but most people don't have anything, and they're surprised when I do have a college degree. ",Personal Vehicle,I don't use public transportation,Lower transportation costs,Job centers or business support,Sometimes,Access to top-tier universities and research institutions,Negative,Small business development,Not connected at all,1,"Healthcare services, Coworking spaces",
6/25/2025 20:22:25,78249,45–54,Employed full-time,Owning a home or condo,Single-family house,4,Rising rent and/or high housing costs,3,"Low wages, High cost of living",Unsure,"Low wages, Inadequate training or education programs, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Healthcare or caregiving roles, English language or GED programs",Yes,Personal Vehicle,Somewhat satisfied,"Reduced traffic congestion, Safer streets","Affordable child or elder care, Mental health or healthcare services",Yes,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Larger military presence",Positive,Affordable housing,Not very connected,7,"Grocery stores, Restaurants/cafes, Healthcare services",
6/25/2025 20:31:14,78240,25–34,Employed full-time,Owning a home or condo,Single-family house,3,Limited availability of housing,1,Low wages,No,Low wages,Tech and digital skills,Yes,Personal Vehicle,Neutral,"More sidewalks, Reduced traffic congestion",Job centers or business support,Yes,"Arts, entertainment, music, San Antonio International Airport Expansion, Low cost of living",Positive,Arts and culture investments,Neutral,10,Restaurants/cafes,
