Project Name,Proposition,Phase,Current Status,Active,Council District,CD,Bond_Year,Total Budget,Total Expenditures,Bond Budget,Bond Expenditures,Construction Start Date,Construction End Date,CPO,Project Comments,Quadlinks,x,y,GlobalID,OBJECTID,Budget Utilized %
District 5 Pedestrian Mobility,Streets,Construction,On Schedule,Active,05,5,2022,3103340,2471812.9,3000000,1829530.04,Summer 2024,Spring 2027,John Harris - (210) 207-1688,,https://publicinput.com/m2638,2115931.822,13695729.21,c6b94750-45d1-41cd-a0e0-4452828b52f2,9081,79.7
Probandt Street Phase 2,Streets,Design,Off Schedule,Active,05,5,2022,8855972,2342185.35,5000000,1478238.32,Winter 2028,Spring 2029,Danielle Monroe - (210) 207-4577,Project is a continuation of 2017 Bond project.  TxDOT required redesign of the project since roadway control will not be turned over to City.   City rescoped the project in coordination with TxDOT to comply with requirements.  Design has resumed.,https://publicinput.com/j1368,2129117.49,13695884.86,9658049e-0e83-47f0-9a46-5fa0385687c1,9110,26.4
S Brazos Str (Alazan Creek-Apache Creek),Streets,Design,On Schedule,Active,05,5,2022,8671395,1497520.24,7500000,816121.36,Spring 2026,Fall 2027,Katherine 'Kat' Schneider - (210) 207-8549,,https://publicinput.com/r4887,2123146.496,13700496.4,84d44546-7c0e-4f9d-aa38-ad30560c44c6,9115,17.3
S Zarzamora Overpass at Union Pacific RR Ph2,Streets,Design,Off Schedule,Active,05,5,2022,2510625,1195524.93,2500000,1182871.62,Fall 2026,Fall 2028,Tania Mendoza - (210) 207-6905,"Design continues. Ongoing real estate acquisitions. Pending relocations, environmental and demolition of structures.",https://saspeakup.com/southzarzamorastoverpass,2117547.283,13691585.99,4a76f780-dfe3-4fd9-b549-eafd9fcffc84,9116,47.6
Frio City Road Outfall Phase 1,Drainage,Design,On Schedule,Active,05,5,2022,11929952,2128694.25,11300000,1485605.62,Summer 2026,Spring 2028,Tania Mendoza - (210) 207-6905,,https://publicinput.com/l3138,2122168.026,13695170.35,09dffa47-c197-4925-af84-6ce690c033b9,9130,17.8
Wilcox Avenue Area Drainage,Drainage,Design,On Schedule,Active,05,5,2022,15572755,1858696.03,15400000,1653696.78,Fall 2026,Summer 2028,Joe Garcia - (210) 207-0097,Received revised 95% design plans after design plan changes and currently under review.,https://publicinput.com/d8657,2109326.427,13681663.74,1774583b-bca4-4b63-817e-3c03be41a202,9146,11.9
Al Forge Park,Parks,Construction,Off Schedule,Active,05,5,2022,500000,291648.93,500000,154447.48,Fall 2025,Summer 2026,Arthur Rossman - (210) 207-3392,Project construction is anticipated begin in September 2025,https://publicinput.com/p7500,2115127.546,13679721.34,78e5d5dd-f8f6-4daa-86b3-9fe8b726152f,9147,58.3
Benavides Park,Parks,Complete,Off Schedule,Inactive,05,5,2022,1272381,1172904.53,800000,815000,Spring 2025,Winter 2026,Jeffrey Wurzbach - (210) 207-0763,Construction continues and project completion anticipated for Fall 2025.,https://publicinput.com/h2888,2115843.76,13697198.55,e1e7838c-13f9-428b-b3e7-868b5e0ad885,9152,92.2
Calderon Clubhouse (Boys & Girls Clubs of SA),Parks,Complete,Off Schedule,Inactive,05,5,2022,3750000,3567316.44,3750000,3469337.99,Summer 2024,Fall 2025,Alicia Gomez - (210) 207-0782,Construction continues with substantial completion by Fall 2025.,https://saspeakup.com/calderonclubhouse,2116108.298,13701814.47,f4ff6a45-162e-4437-ac06-1b9e86b93aea,9155,95.1
Cassiano Park,Parks,Design,On Schedule,Active,05,5,2022,5250000,615123.34,3750000,371569.96,Winter 2026,Fall 2026,Desiree Salmon - (210) 207-2113,,https://saspeakup.com/I6522,2118220.373,13698406.15,0cf2a28c-034c-4acc-aedc-e3db2219e990,9157,11.7
District 5 Parks,Parks,Construction,On Schedule,Active,05,5,2022,2310410,1684020.07,2175000,1191092.44,Summer 2024,Summer 2026,Jeffrey Wurzbach - (210) 207-0763,,https://saspeakup.com/q8536,2124581.607,13686191.61,6d152b11-3a66-403a-9a48-84a2bd3656f0,9172,72.9
Monterrey Park,Parks,Complete,On Schedule,Inactive,05,5,2022,934000,584037.9,800000,282816.52,Spring 2025,Fall 2025,Jeffrey Wurzbach - (210) 207-0763,Project reached substantial completion in Fall 2025.,https://publicinput.com/b3668,2103493.439,13705918.04,67212100-79ab-402a-923a-584c2c3bf829,9196,62.5
New Regional Park Ph1 & Normoyle Park(D5),Parks,Design,On Schedule,Active,05,5,2022,6750000,2259802.14,6750000,1636436.95,Winter 2028,Summer 2029,Jeffrey Wurzbach - (210) 207-0763,A public meeting was held to define scope was held in April 2025. In process of approving a proposal for a Site Surey to be followed with a Design Proposal/Schedule.,https://saspeakup.com/a4880,2116658.436,13686222,1ce23cfe-e2e5-4fb2-b4ad-c2cc91563110,9204,33.5
Rosedale Park,Parks,Complete,On Schedule,Inactive,05,5,2022,635000,377060.49,375000,374601.53,Spring 2024,Fall 2024,Jeffrey Wurzbach - (210) 207-0763,,https://saspeakup.com/S0511,2111819.561,13706487.04,96d95a46-091d-4f71-b687-c7d235df647d,9213,59.4
City-Owned Cultural Facilities Imprvmnts,Facility,Construction,Off Schedule,Active,"01,05",Multiple Districts,2022,6700000,3656826.9,6000000,3086247.35,Summer 2024,Summer 2027,Jaime Camero - (210) 207-5874,"Funding to be used to improve and rehabilitate municipal cultural facilities to potentially include upgrades, increased sustainability, and improvements to extend the lifecycle of the facility. This project includes multiple projects: Spanish Governors Palace- in construction. International Center, and San Antonio Re",https://saspeakup.com/culturalfacilities,2130101.641,13701983.23,e8fb0acc-3513-473b-86a6-e9726225fac6,9230,54.6
Las Palmas Branch Library Renovation,Facility,Construction,On Schedule,Active,05,5,2022,5773784,4662535.11,5250000,2060135.08,Summer 2024,Winter 2027,Evelyn Gamez - (210) 207-1454,Project (Library) is substantially complete.,https://saspeakup.com/laspalmas,2111884.973,13699848.05,7f9f2e61-f23e-419a-9431-02e6b58774c7,9232,80.8
Citywide Public Health & Safety Facility,Safety,Construction,On Schedule,Active,"02,05,07",Multiple Districts,2022,15825000,10597773.71,15825000,8415539.92,Fall 2021,Summer 2026,Jeff Knippel - (210) 207-4334,"The funding is to improve and rehabilitate public health and safety facilities. Facilities include Eastside Branch Clinic, Northeast Clinic, Buena Vista Clinic, Public Safety Substations & Generators, and Meals on Wheels. Metro Health Clinics: Buena Vista, Eastside and NE- all progressing through design and construct",https://saspeakup.com/resiliencyimprovements,2119841.298,13702937.13,f7d6000d-695a-415d-a7d3-fbaf9787cdfb,9238,67
Fire Station #33 Facility Replacement,Safety,Design,On Schedule,Active,05,5,2022,12500000,1813720.6,12500000,1497876.46,Winter 2027,Spring 2028,Jeff Knippel - (210) 207-4334,Project design pending property site location and acquisition.,https://saspeakup.com/firestation33,2104074.93,13696720.85,1e3726f2-3dfa-4ff4-b3bb-86b952b66e6a,9240,14.5
