OBJECTID,CartID,MSAG_Name,FromStreet,ToStreet,Jurisdiction,District,LengthFeet,InstallDate,ProjectName,VendorProjectName,PCI,Comments,ROW_Type,Surface_Type,PavementWidth,SpeedLimit,OneWay,Owner,ROAD_CLASSIFICATION,RoadFunction,MaintenanceResponsibility,Status,SweepingSchedule,Stage,Historical_ID,GoogleMapView,created_date,last_edited_date,GlobalID,Shape_Length
6174,502551,CENTER ST,RR CROSSING,N CHERRY,San Antonio,2,499.7505475,1980-01-01,Unknown,,66.3,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Nightly,Existing,502551,http://www.google.com/maps/place/29.42246529N 098.47698711W,2022-11-29 19:31:38,2024-06-24 6:48:46,{48614E15-1D9C-4F14-A159-677023E3C979},499.7505475
6433,319089,CENTER POINT RD,NACO-PERRIN BLVD,TERRA SUMMIT RD,San Antonio,10,165.0128753,1980-01-01,Unknown,,83.16,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,12,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,319089,http://www.google.com/maps/place/29.54229180N 098.40926094W,2022-11-29 20:27:43,2024-06-23 7:39:59,{CC6A016B-FA3C-4D94-A7FB-017244BF5BD1},165.0128753
6816,8477794,CORNERWAY BLVD,CENTERPIECE DR,CORNER PKWY,San Antonio,2,590.9891244,1980-01-01,Unknown,,92.96,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,No,San Antonio,1,Minor,COSA - Public Works Dept,New,Schedule1,Existing,8477794,http://www.google.com/maps/place/29.44841449N 098.39560037W,2022-11-30 1:44:56,2024-06-23 9:28:15,{13F54D33-9C93-4F90-9588-7DD16591BC11},590.9891244
7213,207832,TAMARISK,ELDERBERRY,STONEFRUIT,San Antonio,7,295.7584064,1980-01-01,Unknown,,54.22,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,207832,http://www.google.com/maps/place/29.52278881N 098.63204060W,2022-11-29 21:37:58,2024-06-23 8:37:07,{56B0E6D1-CAE7-4E1B-972A-D14C0B987E5B},295.7584063
7243,520590,KYLE SEALE PKWY,BAMBERGER TRL,CENTER SPG,San Antonio,7_8,548.5586105,1980-01-01,Unknown,,91.88,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,520590,http://www.google.com/maps/place/29.55942990N 098.64419596W,2022-11-29 19:58:50,2024-06-20 18:01:28,{490C7464-5922-499A-9D59-9F766CE68D05},548.5586105
7647,520730,TOWN CENTER DR,WESTOVER WAY DR,ROGERS CROSSING,San Antonio,6,452.5354397,1980-01-01,Unknown,,89.97,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,38,35,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,520730,http://www.google.com/maps/place/29.46350134N 098.68898673W,2022-11-29 21:28:30,2024-06-23 8:30:14,{2844BF23-CF10-41FB-AE7F-601DF365A1A9},452.5354397
7711,406395,FARMSVILLE DR,CENTERVILLE,MOSSY CRK,San Antonio,4,309.9915363,1980-01-01,Unknown,,81.51,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,406395,http://www.google.com/maps/place/29.40685703N 098.67454599W,2022-11-29 19:49:38,2024-06-24 7:04:27,{4F597FA9-67A4-4B85-A509-4344905E2A45},309.9915363
8226,505444,N MEL WAITERS WAY,CENTER ST,E CROCKETT ST,San Antonio,2,303.0103635,1980-01-01,Unknown,,39.65,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,0,No,San Antonio,1,Collector,COSA - Public Works Dept,IMP Complete,Schedule1,Existing,505444,http://www.google.com/maps/place/29.42299631N 098.44741036W,2022-11-29 19:27:08,2024-06-24 16:31:15,{005CEEC6-D69D-4C1E-9C3D-D0CC7B291421},303.0103635
9633,509531,GEMBLER RD,AT AND T CENTER PKWY,PAULSUN,San Antonio,2,1105.570752,1980-01-01,Unknown,,40.74,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,50,0,No,San Antonio,1,Minor,COSA - Public Works Dept,TBD,Schedule2,Existing,509531,http://www.google.com/maps/place/29.43554243N 098.43204108W,2022-11-29 18:52:33,2024-06-24 15:58:38,{FC309040-821A-41DF-AF25-265264F437C2},1105.570752
10613,502668,N MESQUITE ST,CENTER ST,CHASE ALLEY,San Antonio,2,155.0002197,1980-01-01,Unknown,,73.48,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,22,0,No,San Antonio,1,Local,COSA - Public Works Dept,IMP Complete,Schedule1,Existing,502668,http://www.google.com/maps/place/29.42268033N 098.47475323W,2022-11-29 21:37:58,2024-06-20 18:04:51,{E7187E5A-3124-4327-AE27-F3A3C04EC736},155.0002197
10837,313249,CENTER STONE,CORNERWAY BLVD,CUL-DE-SAC,San Antonio,2,1039.762211,1980-01-01,Unknown,,82.32,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,42,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,313249,http://www.google.com/maps/place/29.44402425N 098.38930318W,2022-11-29 21:00:16,2024-06-23 8:08:44,{6072441C-2786-4CAC-B9BA-CB5965A44B47},1039.762211
11015,511934,CHESTNUT ST,E CROCKETT ST,CENTER ST,San Antonio,2,477.6159659,1980-01-01,Unknown,,54.1,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,38,0,Yes,San Antonio,1,Local,COSA - Public Works Dept,TBD,Nightly,Existing,511934,http://www.google.com/maps/place/29.42332195N 098.47982904W,2022-11-29 20:55:31,2024-06-20 18:03:24,{E0B435F8-BD47-4347-BD22-D436E66B2E47},477.6159659
11531,846006,BABCOCK RD,MEDICAL DR,JOHN SMITH DR,San Antonio,7_8,971.7603958,1980-01-01,Unknown,,63.06,Pavement width updated based in field reviews. 2/24/23,Street,AC Asphalt Concrete,88,40,No,San Antonio,1,Principal,COSA - Public Works Dept,New,Schedule2,Existing,846006,http://www.google.com/maps/place/29.50802829N 098.58873103W,2022-11-30 1:11:13,2024-06-20 18:06:21,{BFBC59C5-7708-4028-A314-AAAC3A94CBA4},971.7603958
11942,414420,BENT BRANCH,ELDERWOOD,Dead End,San Antonio,6,144.7534928,1980-01-01,Unknown,,83.1,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,414420,http://www.google.com/maps/place/29.51313341N 098.66505510W,2022-11-29 19:35:57,2024-06-24 6:54:09,{D29E8661-1941-4672-9EC5-7275028978A7},144.7534928
12001,8481115,ELDER BEND,STILL PASS,COOK BEND,San Antonio,3,318.089659,2021-06-29,Mission Del Lago Unit 14B (T.I.F.) Plat #20-11800018,,92.39,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,30,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,8481115,http://www.google.com/maps/place/29.29553576N 098.48139090W,2022-11-30 2:01:48,2024-06-20 18:06:52,{CD5D3C4A-28CC-466C-B9E4-1E04DCCE1B47},318.089659
12284,407619,CANYONWOOD LN,BROWNLEAF DR,CENTERGROVE,San Antonio,6,268.2698067,1980-01-01,Unknown,,89.98,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,407619,http://www.google.com/maps/place/29.42920599N 098.62998875W,2022-11-29 20:18:05,2024-06-20 18:02:15,{19F0A9B0-A54E-4E0F-B545-031EF2F0E62B},268.2698067
12287,8477014,STONEWALL PKWY,IH 10 W ACCESS RD,STONEWALL PKWY,San Antonio,8,458.6968123,2000-01-01,Stonewall_Estates_U-1 Plat050489 (see attached) Construction Inspection letter indicates Private; but is probably in error because plat indicates Public for Stonewall Pkwy and Stonewall Hill.  Gated Community to west of is Private.,,89.68,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28.5,0,No,San Antonio,3,Local,COSA - Public Works Dept,TBD,TBD,Existing,8477014,Not Available,2022-11-30 1:39:17,2024-06-23 9:26:46,{C3F1633E-37A1-4210-AA6D-AEDC649C2E22},458.6968123
12639,845447,FLOYD CURL,OAKLAND RD,HAMILTON WOLFE,San Antonio,8,725.746506,1980-01-01,street segment split due to Medical Center Residential plat,,4.35,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,44,0,No,San Antonio,1,Minor,COSA - Public Works Dept,TBD,Schedule2,Existing,845447,http://www.google.com/maps/place/29.52208042N 098.59086831W,2022-11-30 2:06:59,2024-06-23 9:34:08,{F2131690-05E4-41AC-B130-8785A6E844A5},725.746506
13672,502743,N MONUMENTAL,PASO HONDO,CENTER ST,San Antonio,2,337.2499817,1980-01-01,Unknown,,41.2,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,502743,http://www.google.com/maps/place/29.42162366N 098.46809219W,2022-11-29 19:05:30,2024-06-24 16:11:21,{15A949DC-DA5B-4951-989A-2E7F7BDB46FA},337.2499817
13886,416920,OAK MANOR DR,SALK,CLINIC DR,San Antonio,8,805.6118726,1980-01-01,Unknown,,64.12,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,40,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,416920,http://www.google.com/maps/place/29.50235911N 098.57457175W,2022-11-29 19:05:30,2024-06-24 6:22:41,{EA1A3AB5-C2C0-4D1A-8E28-7ED07C168177},805.6118726
13917,505839,N NEW BRAUNFELS AVE,CENTER ST,E CROCKETT ST,San Antonio,2,342.5104036,1980-01-01,Unknown,,69.46,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,22,0,No,San Antonio,1,Minor,COSA - Public Works Dept,IMP Complete,Schedule2,Existing,505839,http://www.google.com/maps/place/29.42298071N 098.46106890W,2022-11-29 20:03:51,2024-06-23 7:21:45,{AA7BA3B3-4E79-4826-885F-E0D60C19DD94},342.5104036
14666,414426,ELDERWOOD,OLD TEZEL RD,FLURRYWOOD,San Antonio,6,276.9887571,1980-01-01,Unknown,,82.01,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,414426,http://www.google.com/maps/place/29.51522863N 098.66544350W,2022-11-29 20:13:17,2024-06-20 18:02:06,{2DEE8804-06EF-4B9A-8FC8-5624B5B786C6},276.9887571
15033,309029,MOUNTAINSIDE RDG,KNIGHTS HAVEN,ELDERPATH PLACE,San Antonio,10,154.0433285,1980-01-01,Unknown,,84.47,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,309029,http://www.google.com/maps/place/29.57647779N 098.34813552W,2022-11-29 21:33:13,2024-06-20 18:04:39,{96EB13E2-8802-4AB8-8AA0-C00C7CDDC5ED},154.0433285
15762,423420,VALLEY CENTER,HAVENBROOK,CUL-DE-SAC,San Antonio,6,212.4513998,1980-01-01,Unknown,,87.87,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,423420,http://www.google.com/maps/place/29.42842302N 098.64062787W,2022-11-29 21:23:51,2024-06-23 8:25:49,{87393A1B-DBD1-4B9A-A92A-20759C1C918E},212.4513998
16277,505356,N PALMETTO,PASO HONDO,CENTER ST,San Antonio,2,342.2503369,1980-01-01,Unknown,,38.23,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,20,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,505356,http://www.google.com/maps/place/29.42162185N 098.46540079W,2022-11-29 21:37:58,2024-06-23 8:40:52,{321CA85B-719F-4946-9FD4-BD71C2AF19F7},342.2503369
16912,504361,E SOUTHCROSS BLVD,BOXELDER,S HACKBERRY ST,San Antonio,3,196.9999341,1980-01-01,Unknown,,79.22,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,42,35,No,San Antonio,1,Minor,COSA - Public Works Dept,TBD,Schedule2,Existing,504361,http://www.google.com/maps/place/29.37549355N 098.47373409W,2022-11-29 20:46:20,2024-06-20 18:03:09,{F5A103BF-C6FF-422B-A4D9-A78CAF078D93},196.9999341
17079,304097,LOCKWAY,INDUSTRIAL CENTER,CENTER GATE DR,San Antonio,10,816.2500079,1980-01-01,Unknown,,31.14,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,40,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,304097,http://www.google.com/maps/place/29.51955129N 098.40658588W,2022-11-29 19:01:06,2024-06-24 16:04:46,{916790C7-59D0-4682-B351-B91368C9F567},816.2500079
17590,416891,BABCOCK RD,JOHN SMITH DR,MEDICAL DR,San Antonio,7_8,958.7927709,1980-01-01,Unknown,,57.86,Pavement width updated based in field reviews. 2/24/23,Street,AC Asphalt Concrete,88,0,No,San Antonio,1,Principal,COSA - Public Works Dept,IMP Complete,Schedule2,Existing,416891,http://www.google.com/maps/place/29.50814780N 098.58861524W,2022-11-29 21:47:41,2024-06-23 8:48:32,{08A69E38-2796-4B8B-B028-0A88DA2ADA86},958.7927709
17631,849439,OLD TEZEL RD,TEZEL RD,ELDERWOOD,San Antonio,7,132.7932138,2000-01-01,Unknown,,76.06,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,New,Schedule1,Existing,849439,http://www.google.com/maps/place/29.51559554N 098.66255021W,2022-11-30 1:33:36,2024-06-23 9:25:58,{50F34F20-7EE2-43DD-9899-16F8CF17D587},132.7932138
17787,422024,INDIAN WOODS,CENTER OAK WOODS,SHAVANO WOODS,San Antonio,8,269.4208172,1980-01-01,Unknown,,96.8,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,42,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,422024,http://www.google.com/maps/place/29.57597908N 098.56894189W,2022-11-29 19:35:57,2024-06-20 18:00:41,{98258488-6F48-4C77-B65B-03F932D8FA7F},269.4208172
18030,505406,N MITTMAN ST,CENTER ST,POTOMAC ST,San Antonio,2,291.2584364,1980-01-01,Unknown,,95.45,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,505406,http://www.google.com/maps/place/29.42259842N 098.45457068W,2022-11-29 21:52:29,2024-06-20 18:05:22,{A67FF789-B6E2-4D11-85D4-3E43A46FBB73},291.2584364
18425,501469,SOUTHTON RD,CENTER RD,SOUTHTON RD,San Antonio,3,300.0650855,1980-01-01,Unknown,,57.81,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,501469,http://www.google.com/maps/place/29.30300259N 098.43174249W,2022-11-29 22:52:32,2024-06-23 9:06:51,{A5F01D17-9AC0-4DE8-A6F4-7014DF162F1D},300.0650855
18433,505291,CENTER ST,N NEW BRAUNFELS AVE,N POLARIS,San Antonio,2,687.6692083,1980-01-01,Unknown,,76.85,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,505291,http://www.google.com/maps/place/29.42255639N 098.46010128W,2022-11-29 21:42:48,2024-06-20 18:05:02,{30CE1163-58E2-4689-8E95-1EA1B3CEBCB2},687.6692083
18437,846040,MEDICAL DR,VON SCHEELE DR,BABCOCK RD,San Antonio,8,1977.584692,1980-01-01,Unknown,,66.35,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,36,0,No,San Antonio,1,Minor,COSA - Public Works Dept,New,Schedule2,Existing,846040,http://www.google.com/maps/place/29.51068792N 098.58742869W,2022-11-30 1:11:13,2024-06-20 18:06:22,{2F77FEE4-6031-4DD2-90F4-EF7BC4E62380},1977.584692
18603,312918,TWILIGHT TERRACE,EVENINGWAY,CENTERWAY,San Antonio,2,867.0754508,1980-01-01,Unknown,,30.55,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,26,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,312918,http://www.google.com/maps/place/29.53183799N 098.38758714W,2022-11-29 19:27:08,2024-06-24 16:31:52,{28B6B2C0-8A2D-4802-AF26-635D6975846E},867.0754508
18755,504630,DOUP,TREMLETT,SCHOOL ST,San Antonio,3,208.952978,1980-01-01,Unknown,,83.65,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,22,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,504630,http://www.google.com/maps/place/29.38912538N 098.48203325W,2022-11-29 21:47:41,2024-06-23 8:48:05,{5E6E9838-F285-4779-BFB2-25C25246FABE},208.952978
18928,312829,RITTIMAN RD,WOODLAKE CENTER,FM 78,San Antonio,2,974.6140194,1980-01-01,Unknown,,49.07,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,64,0,No,San Antonio,1,Minor,COSA - Public Works Dept,TBD,Schedule2,Existing,312829,http://www.google.com/maps/place/29.48079034N 098.36243807W,2022-11-29 22:07:09,2024-06-23 9:01:17,{3D77CC5A-0ADE-436E-8B1C-FBAEDC4207DF},974.6140194
19258,520515,FLEMING SURF,BAMBERGER TRL,CENTER SPG,San Antonio,8,440.7927847,1980-01-01,Unknown,,83.49,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,520515,http://www.google.com/maps/place/29.55930626N 098.64064768W,2022-11-29 20:18:05,2024-06-23 7:30:06,{7A1903EF-1370-46DD-88F9-E54857300865},440.7927847
19280,318854,INDUSTRY PARK DR,GOLDFIELD,SPACE CENTER DR,San Antonio,2,1201.049904,1980-01-01,Unknown,,99.61,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,40,0,No,San Antonio,1,Collector,COSA - Public Works Dept,TBD,Schedule1,Existing,318854,http://www.google.com/maps/place/29.48098549N 098.40235757W,2022-11-29 19:58:50,2024-06-23 7:16:15,{92765FC4-F33E-46DB-B687-42E15B666FC5},1201.049904
19565,312933,CENTERWAY,STARLIGHT TERRACE,MOONLIGHT TERRACE,San Antonio,2,381.4259263,1980-01-01,Unknown,,50.62,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,312933,http://www.google.com/maps/place/29.53312472N 098.38523657W,2022-11-29 19:54:18,2024-06-23 7:11:25,{F6290803-6047-4ECB-906D-980EEA297E27},381.4259263
19761,312849,SERVICE CENTER DR,BUSINESS PARK,DISTRIBUTION,San Antonio,2,1137.065282,1980-01-01,Unknown,,41.24,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,40,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,312849,http://www.google.com/maps/place/29.47548232N 098.39183305W,2022-11-29 19:18:21,2024-06-24 16:24:33,{557B5CAE-803F-41CD-91AC-85C7A921CAAB},1137.065282
19967,505393,N GEVERS ST,CENTER ST,POTOMAC ST,San Antonio,2,155.5002181,1980-01-01,Unknown,,80.99,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,34,0,No,San Antonio,1,Collector,COSA - Public Works Dept,IMP Complete,Schedule2,Existing,505393,http://www.google.com/maps/place/29.42278372N 098.45676635W,2022-11-29 20:32:17,2024-06-20 18:02:34,{DBF2BA6E-A736-44A8-A281-17ADFBEFB65C},155.5002181
20147,518912,TELDER PATH,SHIVALIK WAY,MUMFORD PATH,San Antonio,7,736.4923673,1980-01-01,Unknown,,78.93,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,518912,http://www.google.com/maps/place/29.46263489N 098.59374976W,2022-11-29 21:19:04,2024-06-23 8:23:00,{4D4D5441-4F16-47BC-83CF-E15B187C3F75},736.4923673
20471,516529,STONEWALL HILL,STONEWALL PKWY,IH 10 W ACCESS RD,San Antonio,8,1069.223048,2000-01-01,"Street platted by Stonewall_Estates_U-1 Plat050489 (see attached)
Also attached Construction Inspection letter indicates Private; but is probably in error because plat indicates Public.  Gated Community to west of is Private.",,74.75,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28.5,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,TBD,Existing,516529,Not Available,2022-11-30 0:10:57,2024-06-25 15:53:00,{E3284D43-E02E-4976-A161-69C62EAFB37B},1069.223048
20530,509529,AT AND T CENTER PKWY,ANIOL,GEMBLER RD,San Antonio,2,460.6614207,1980-01-01,Unknown,,78.4,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,60,0,No,San Antonio,1,Minor,COSA - Public Works Dept,TBD,Schedule2,Existing,509529,http://www.google.com/maps/place/29.43490676N 098.43367325W,2022-11-29 18:56:51,2024-06-24 16:00:18,{42157F87-36E0-47D1-871C-0B5C2C1FE685},460.6614207
