OBJECTID,CASEID,mode_aspect,avg_elevation,avg_roughness,avg_slope,sidewalk_ratio
280,1014942515,270,270.904,0.581,1.122,1.856
281,1014942543,200,175.968,0.258,0.467,0
282,1014942548,290,196.923,0.325,0.503,2.046
283,1014942550,50,267.654,1.487,3.095,0.139
284,1014942561,120,250.019,0.835,1.532,2.014
285,1014942740,65,280.651,1.242,2.546,2.036
286,1014942746,185,310.523,1.024,1.762,1.2
287,1014942763,85,261.11,1.149,2.115,1.936
288,1014942790,200,236.485,0.734,1.524,1.922
289,1014942792,165,179.079,0.439,0.805,2.023
290,1014942799,125,272.421,0.393,0.719,2.038
291,1014942800,150,244.022,0.91,1.911,2.006
292,1014942817,50,277.798,1.094,2.184,2.051
293,1014942831,150,256.528,0.552,0.942,2.107
294,1014942964,100,228.695,0.367,0.636,2.015
295,1014942993,105,229.864,0.691,1.246,2.091
296,1014943134,20,179.855,0.24,0.488,1.896
297,1014943142,85,211.596,0.516,1.014,2.037
298,1014943244,165,310.491,1.549,3.104,1.853
299,1014943246,165,313.611,1.575,3.215,1.926
300,1014943261,70,258.728,1.039,2.211,2.185
301,1014943269,70,258.728,1.039,2.211,2.185
302,1014943298,215,330.492,1.883,3.517,0.94
303,1014943344,160,308.554,1.463,2.93,0.973
304,1014943472,295,267.483,2.269,4.512,2.089
305,1014943560,165,309.425,1.389,2.978,1.246
306,1014943665,260,166.056,0.712,1.502,2.026
307,1014943683,260,205.704,0.208,0.382,2.018
308,1014943774,170,197.702,0.46,0.884,2.016
309,1014943778,200,236.485,0.734,1.524,1.922
310,1014943812,295,300.485,1.009,1.905,2
311,1014943880,180,196.692,0.65,1.09,1.166
312,1014943928,80,240.042,0.635,1.139,1.919
313,1014944033,50,274.094,1.041,2.094,0.795
314,1014944193,205,199.987,0.286,0.52,2.086
315,1014944244,150,207.675,0.704,1.361,2.041
316,1014944635,165,189.989,0.435,0.892,2.058
317,1014944733,145,241.955,0.55,1.009,2.068
318,1014944858,145,218.307,0.725,1.478,1.967
319,1014944875,40,233.795,0.347,0.589,1.092
320,1014944912,115,236.804,0.346,0.579,1.892
321,1014944924,190,233.929,0.71,1.579,1.957
322,1014944929,120,241.287,0.579,1.137,1.984
323,1014944939,240,187.93,0.723,1.352,2.051
324,1014944986,115,193.506,0.43,0.854,0.6
325,1014945212,155,196.429,1.091,2.296,1.965
326,1014945234,150,185.558,0.378,0.551,1.982
327,1014945240,155,283.583,1.446,2.934,2.022
328,1014945242,50,194.54,0.346,0.29,1.983
329,1014945292,145,196.697,0.569,0.96,1.752
330,1014945361,20,205.772,0.288,0.49,2.019
331,1014945494,270,199.819,0.22,0.362,1.797
332,1014945541,345,235.125,0.882,1.651,2.034
333,1014945547,75,225.071,1.288,2.611,2.256
334,1014945553,65,232.687,0.399,0.852,2.32
335,1014945560,165,219.551,0.551,1.075,2.045
336,1014945602,80,243.124,1.008,2.316,2.017
337,1014945826,170,188.503,0.374,0.612,1.807
338,1014946004,110,246.185,1.069,1.978,1.937
339,1014946017,15,194.712,0.385,0.759,0.235
340,1014946135,230,196.783,0.225,0.333,0.938
341,1014946136,95,229.366,1.353,2.89,2.01
342,1014946251,280,255.704,1.134,2.197,2.066
343,1014946301,150,309.431,0.794,1.529,1.996
344,1014946303,200,238.072,1.219,1.726,1.947
345,1014946444,285,243.529,0.973,1.794,1.988
346,1014946464,260,211.323,0.628,1.152,2.085
347,1014946499,325,216.015,0.662,1.184,1.932
348,1014946575,15,232.597,0.731,1.318,1.956
349,1014946691,15,249.18,0.621,1.31,0.421
350,1014946824,240,189.366,0.259,0.562,1.97
351,1014947368,245,242.799,0.556,1.056,1.12
352,1014947394,240,259.476,1.196,2.266,1.786
353,1014947397,245,242.799,0.556,1.056,1.12
354,1014947407,245,242.799,0.556,1.056,1.12
355,1014947470,125,257.51,0.399,0.644,1.83
356,1014947544,140,256.509,0.325,0.591,1.658
357,1014947950,270,337.422,1.316,2.939,2.038
358,1014948287,50,203.895,0.208,0.376,2.089
359,1014948448,150,191.083,0.383,0.534,1.981
360,1014948513,320,261.208,1.049,2.053,2.234
361,1014948741,175,205.721,0.302,0.671,1.983
362,1014948742,175,205.721,0.302,0.671,1.983
363,1014949226,260,205.704,0.208,0.382,2.018
364,1014949270,190,232.631,0.515,1.082,1.996
365,1014949276,290,196.303,0.751,1.392,2.172
366,1014949427,185,352.094,1.204,2.331,1.165
367,1014949428,135,352.737,1.102,2.243,0.782
368,1014949434,225,268.724,1.144,2.365,2.018
369,1014949441,165,243.475,0.446,0.568,2.059
370,1014949463,315,238.578,1.41,2.954,2.032
371,1014949648,255,227.463,1.196,2.439,2.066
372,1014949782,345,277.704,1.183,2.331,2.004
373,1014950489,95,200.53,0.263,0.497,1.28
374,1014950535,295,256.128,1.1,1.959,2.107
375,1014950545,0,211.286,0.573,1.179,1.709
376,1014950558,130,275.092,1.79,3.581,1.87
377,1014950729,165,276.474,1.129,2.324,2.082
378,1014950730,250,267.341,0.779,1.51,1.884
379,1014950786,125,307.149,0.95,1.886,1.749
380,1014950789,145,187.918,0.465,0.973,2.045
381,1014951003,170,234.063,1.152,2.442,2.063
382,1014951143,150,191.083,0.383,0.534,1.981
383,1014951367,85,211.637,0.301,0.576,2.043
384,1014951447,230,236.273,0.741,1.45,2.163
385,1014951518,170,245.163,0.586,0.994,2.057
386,1014951654,225,264.604,1.256,2.438,2.041
387,1014951657,190,314.371,0.568,1.112,2.021
388,1014951766,250,218.53,0.519,1.079,1.999
389,1014951790,20,205.772,0.288,0.49,2.019
390,1014951804,140,246.934,0.496,0.81,1.856
391,1014951927,105,217.913,0.674,1.258,1.867
392,1014952099,125,208.642,0.575,0.936,1.983
393,1014952186,145,353.021,0.578,0.972,1.863
394,1014952254,185,216.747,0.405,0.799,1.999
395,1014952297,165,261.025,1.004,2.061,1.651
396,1014952334,230,197.865,0.697,1.365,1.92
397,1014952420,25,224.938,0.574,0.957,2
398,1014952713,120,188.114,0.307,0.665,2.123
399,1014952828,195,231.751,0.843,1.762,2.185
400,1014952845,340,295.884,1.368,3.002,0.086
401,1014952849,115,236.739,1.185,2.197,1.833
402,1014952916,50,267.654,1.487,3.095,0.139
403,1014952991,100,200.36,0.304,0.515,1.351
404,1014953015,100,200.36,0.304,0.515,1.351
405,1014953057,80,231.994,1.09,2.187,1.998
406,1014953080,260,205.704,0.208,0.382,2.018
407,1014953084,65,234.407,0.853,1.756,2.03
408,1014953092,10,289.454,1.218,2.16,2.173
409,1014953188,150,257.605,0.878,1.727,2.341
410,1014953485,0,211.286,0.573,1.179,1.709
411,1014953628,55,184.352,0.205,0.417,0.373
412,1014953858,140,253.947,1.442,2.848,2.137
413,1014953859,140,253.947,1.442,2.848,2.137
414,1014953872,105,204.216,0.49,0.912,2.199
415,1014953875,210,194.91,0.756,1.261,1.984
416,1014953876,85,187.64,0.436,0.886,2.038
417,1014954063,205,199.987,0.286,0.52,2.086
418,1014954201,50,212.435,0.636,1.221,2.062
419,1014954422,145,228.379,0.392,0.752,1.395
420,1014954475,335,236.905,0.551,0.859,1.007
421,1014954497,75,224.762,0.544,1.005,1.993
422,1014954500,160,193.237,0.408,0.757,2.101
423,1014954505,70,187.657,0.503,0.942,2.057
424,1014954511,150,235.539,0.714,1.509,2.014
425,1014954523,170,201.293,0.255,0.479,2.046
426,1014954539,95,202.336,0.399,0.844,1.994
427,1014954650,310,229.181,0.362,0.61,1.996
428,1014954693,180,228.483,0.653,1.444,1.255
429,1014954718,180,219.623,0.554,1.183,1.981
430,1014954975,270,196.273,0.827,1.67,2.122
431,1014954978,150,216.327,0.612,1.028,1.878
432,1014954996,230,279.891,1.335,2.64,1.892
433,1014955176,220,194.117,0.46,0.671,0.256
434,1014955203,100,219,0.486,0.97,2.055
435,1014955237,140,231.809,0.649,1.212,2.074
436,1014955240,215,193.379,0.583,0.705,2.037
437,1014955282,125,257.51,0.399,0.644,1.83
438,1014955292,135,297.504,1.057,2.175,1.024
439,1014955335,35,214.465,0.201,0.378,2.149
440,1014955437,60,220.014,0.836,1.777,2.199
441,1014955441,100,219,0.486,0.97,2.055
442,1014955528,275,220.02,0.891,1.87,2.009
443,1014955561,295,215.931,0.396,0.832,2.197
444,1014955985,80,201.017,0.294,0.589,2.266
445,1014956180,270,291.646,1.097,2.059,1.322
446,1014956231,90,196.144,0.498,0.934,1.488
447,1014956250,135,252.175,1.713,3.444,2.077
448,1014956307,145,353.021,0.578,0.972,1.863
449,1014956353,100,204.584,1.09,2.301,2.02
450,1014956415,195,200.876,0.43,0.841,1.89
451,1014956429,165,209.332,0.411,0.55,1.997
452,1014956625,20,214.273,0.698,1.326,1.963
453,1014956635,205,199.987,0.286,0.52,2.086
454,1014956659,190,311.563,0.617,1.247,1.154
455,1014956781,195,222.713,0.454,0.407,2.009
456,1014956799,200,238.072,1.219,1.726,1.947
457,1014956867,65,240.278,0.975,1.907,1.874
458,1014957022,255,267.301,2.316,4.969,1.974
459,1014957026,135,236.481,0.524,0.986,2.037
460,1014957028,135,236.481,0.524,0.986,2.037
461,1014957042,140,232.188,0.795,1.408,2.041
462,1014957163,260,197.904,0.771,1.453,2.013
463,1014957276,220,198.13,0.611,1.195,2.051
464,1014957289,95,229.772,0.934,1.987,2.01
465,1014957301,125,326.525,1.702,3.407,1.979
466,1014957302,210,213.755,0.222,0.357,1.888
467,1014957314,315,259.638,1.093,2.16,2.199
468,1014957376,315,237.616,0.224,0.461,2.02
469,1014957659,100,199.202,0.585,1.216,1.15
470,1014957721,125,221.121,0.514,1.05,1.193
471,1014957790,180,196.692,0.65,1.09,1.166
472,1014957929,295,201.299,0.3,0.523,0.94
473,1014957996,250,277.3,0.878,1.759,1.991
474,1014958079,135,316.109,1.134,2.053,2.048
475,1014958178,155,234.277,0.92,1.734,1.885
476,1014958279,110,210.73,0.494,0.888,2.108
477,1014958289,45,210.594,0.379,0.606,2.178
478,1014958394,170,195.848,0.54,0.906,1.898
479,1014958412,175,210.683,0.484,1.002,2.05
480,1014958431,55,232.663,1.348,2.621,1.961
481,1014958474,15,249.18,0.621,1.31,0.421
482,1014958567,315,237.616,0.224,0.461,2.02
483,1014958570,75,239.644,0.627,0.903,2.085
484,1014958573,75,239.644,0.627,0.903,2.085
485,1014958598,155,286.305,0.94,1.97,2.021
486,1014958678,140,205.257,0.41,0.815,2.134
487,1014958742,245,201.932,0.462,0.504,1.882
488,1014958754,165,292.755,1.191,2.496,2.207
489,1014958993,90,242.296,0.331,0.602,1.915
490,1014958997,170,234.063,1.152,2.442,2.063
491,1014959013,165,261.025,1.004,2.061,1.651
492,1014959015,175,184.776,0.57,1.325,2.059
493,1014959023,210,244.502,0.621,1.292,1.948
494,1014959046,190,190.862,0.601,1.248,2.045
495,1014959107,295,201.299,0.3,0.523,0.94
496,1014959182,135,292.511,0.467,0.571,2.016
497,1014959234,210,249.087,0.672,1.294,2.013
498,1014959237,190,220.812,0.48,1.019,0.221
499,1014959298,75,239.644,0.627,0.903,2.085
500,1014959338,195,187.71,0.441,0.843,2.043
501,1014959390,355,274.735,1.057,2.323,1.116
502,1014959409,280,289.457,0.726,1.588,1.95
503,1014959417,285,287.251,0.846,1.698,1.043
504,1014959518,150,206.692,0.344,0.682,1.981
505,1014959549,70,241.991,0.306,0.446,2.032
506,1014959615,90,326.387,1.795,4.159,1.137
507,1014959722,75,225.21,0.857,1.696,2.038
508,1014959765,70,341.313,0.732,1.525,0.97
509,1014959770,230,219.5,0.8,1.196,1.947
510,1014959784,70,341.313,0.732,1.525,0.97
511,1014959885,140,223.403,0.428,0.859,2.139
512,1014959999,80,351.035,0.997,2.175,1.434
513,1014960017,160,218.674,0.667,1.368,2.079
514,1014960043,160,210.291,0.875,1.572,0.994
515,1014960058,65,206.01,0.427,0.72,2.218
516,1014960153,175,193.953,0.4,0.422,1.975
517,1014960171,35,210.211,0.645,1.303,1.903
518,1014960186,345,217.771,0.352,0.667,2.015
519,1014960259,270,255.713,0.764,1.731,1.877
520,1014960295,125,295.641,0.508,0.891,1.956
521,1014960357,145,344.239,1.732,3.285,2.002
522,1014960399,300,209.505,0.878,1.639,2.055
523,1014960423,345,217.771,0.352,0.667,2.015
524,1014960430,35,198.539,0.821,1.594,0.96
525,1014960431,90,201.325,0.461,0.901,2.36
526,1014960438,15,232.304,1.356,2.684,2.164
527,1014960463,140,201.197,0.379,0.637,1.962
528,1014960512,55,291.244,1.005,1.913,2.057
529,1014960521,165,230.54,0.862,1.948,1.77
530,1014960623,180,222.256,0.465,0.907,1.921
531,1014960633,165,214.924,0.444,0.65,1.82
532,1014960639,55,291.244,1.005,1.913,2.057
533,1014960642,125,295.641,0.508,0.891,1.956
534,1014960692,200,238.072,1.219,1.726,1.947
535,1014960730,135,292.511,0.467,0.571,2.016
536,1014960736,140,264.894,0.676,1.211,1.665
537,1014960754,355,215.256,0.328,0.62,2.019
538,1014960902,195,233.259,0.657,1.273,1.748
539,1014960926,25,187.619,0.621,1.244,2.135
540,1014960929,140,186.789,0.731,1.317,2.005
541,1014960930,90,213.802,0.612,1.27,2.087
542,1014960939,245,213.795,0.493,1.007,1.986
543,1014960952,175,375.114,3.156,6.699,1.851
544,1014961078,190,258.673,1.351,2.951,1.833
545,1014961139,260,197.904,0.771,1.453,2.013
546,1014961194,175,375.114,3.156,6.699,1.851
547,1014961263,255,193.953,0.403,0.326,2.064
548,1014961287,100,215.578,0.58,0.925,1.262
549,1014961411,75,231.661,0.846,1.704,2.055
550,1014961423,210,206.607,0.596,1.213,0.289
551,1014961479,170,206.029,0.317,0.481,2.029
552,1014961532,60,233.272,1.088,2.216,1.934
553,1014961578,35,192.646,0.491,0.942,1.698
554,1014961682,140,312.044,1.754,3.368,1.342
555,1014961732,220,283.513,0.695,1.056,2.029
556,1014961784,185,240.052,0.598,0.925,2.035
