ProjectCategory,SMPProjectID,CouncilDistrict,ProjectStreet,StreetFrom,StreetTo,ProjectLimits,FiscalYear,Application,Type_,Force,WeightedPCI,PBaseFail,FieldBasePave,PFlatWork,EstTotalCost,ProjectStatus,ScheduleStart,ScheduleFinish,ActualStart,ActualFinish,ProjectManager,Contact,Shape_Length
Preservation,17447,10,Pebble Sound,Forest Spur,Pebble Park,Pebble Sound From Forest Spur To Pebble Park,2017,Crack Seal - City,Sealant,City,86.0,0.0,0.0,0.0,1001.1620014198904,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,628.0274346665713
Preservation,17448,2,Sardonyx,Eveningway,Moonstone,Sardonyx From Eveningway To Moonstone,2017,Fog Seal - City,Sealant,City,59.0,0.0,0.0,0.0,1458.650622589121,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,301.9407573574329
Preservation,17450,2,Centerway,Moonlight Terrace,Twilight Terrace,Centerway From Moonlight Terrace To Twilight,2017,Fog Seal - City,Sealant,City,53.0,0.0,0.0,0.0,3637.129554584703,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,752.4510124730834
Preservation,17454,10,Farber Dale,Tarkio Way,Eldon Rock,Farber Dale From Tarkio Way To Eldon Rock,2014,Fog Seal - City,Sealant,City,86.0,0.0,0.0,0.0,9506.836113935884,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,746.5645711747975
Preservation,17457,2,Roundtree,Overlook Dr,Suddith,Roundtree From Overlook Dr To Suddith,2014,Slurry Seal - City,Sealant,City,79.0,0.0,0.0,0.0,11714.913279046248,AP Change to from 25 to 27,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,599.8058242584
Preservation,17463,10,Arcadia Park,Drexel Run,Granger Patch,Arcadia Park From Drexel Run To Granger Patch,2014,Fog Seal - City,Sealant,City,99.0,0.0,0.0,0.0,24607.213403900427,Change AP from 9 to 25,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,2415.732329031953
Preservation,17464,10,Emden Holw,Garwood Chase,Darien Wing,Emden Holw From Garwood Chase To Darien Wing,2014,Fog Seal - City,Sealant,City,86.0,0.0,0.0,0.0,8136.996672074266,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,639.0333644846081
Preservation,17465,10,Harper's Bend Dr,Burning Crk,Misty Bend Dr,Harper's Bend Dr From Burning Crk To Misty Bend Dr,2017,Fog Seal - City,Sealant,City,61.0,0.0,0.0,0.0,7772.40758780285,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1699.5406978887308
Preservation,17518,6,Piccadilly,Rob Roy Ln,Cul-De-Sac,Piccadilly From Rob Roy Ln To Cul-De-Sac,2014,Fog Seal - City,Sealant,City,79.0,0.0,0.0,0.0,4952.980590357103,APCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,211.6397398984852
Preservation,17520,6,British Arms,Copperfield,Cul-De-Sac,British Arms From Copperfield To Cul-De-Sac,2014,Crack Seal - City,Sealant,City,91.0,0.0,0.0,0.0,238.54805245953705,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,267.34795627019497
Preservation,17559,6,Meadow Sun,Timber View Dr,Meadow Rain,Meadow Sun From Timber View Dr To Meadow Rain,2015,Fog Seal - City,Sealant,City,76.0,0.0,0.0,0.0,9620.883702336763,ApCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,736.4200378785112
Preservation,17561,6,Galesburg,Brandyridge,Barnsley,Galesburg From Brandyridge To Barnsley,2017,Fog Seal - City,Sealant,City,80.0,0.0,0.0,0.0,5763.689782999913,APCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1351.3227727707326
Preservation,17730,5,Alta Sita,S General McMullen,Dead End,Alta Sita From S General McMullen To Dead End,2015,Slurry Seal - City,Sealant,City,39.0,10.0,0.0,10.0,21956.847408278383,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,982.9717101456874
Preservation,17798,5,Illg,Nogalitos St,S Zarzamora,Illg From Nogalitos St To S Zarzamora,2014,Fog Seal - City,Sealant,City,79.0,0.0,0.0,0.0,17977.406038782356,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1412.02036421068
Preservation,17800,5,B St,Keck Ave,S Zarzamora,B St From Keck Ave To S Zarzamora,2016,Slurry Seal - City,Sealant,City,73.0,0.0,0.0,0.0,5156.261639437746,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,588.0916232513893
Preservation,17854,2,Paulsun,Belgium,Gembler Rd,Paulsun From Belgium To Gembler Rd,2017,Slurry Seal - City,Sealant,City,56.0,0.0,0.0,0.0,18988.062787740542,Defer2014,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1400.755862437805
Preservation,17862,1,Scotland,Dresden,Gilbert Ln,Scotland From Dresden To Gilbert Ln,2015,Crack Seal - City,Sealant,City,82.0,0.0,0.0,0.0,813.4044456042787,Review Limits,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,581.0017585652778
Preservation,17869,7,Bethany Place,Babcock Rd,Loma Linda Dr,Bethany Place From Babcock Rd To Loma Linda Dr,2015,Slurry Seal - City,Sealant,City,36.0,0.0,0.0,0.0,15328.539673291474,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,765.3082224963307
Preservation,17888,1,Sadie St,Labor,S Presa St,Sadie St From Labor To S Presa St,2014,Crack Seal - City,Sealant,City,82.0,0.0,0.0,0.0,1207.8248768000312,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1104.74835361063
Preservation,17998,10,Chiselhurst ,Bridgeview,Dead End,Chiselhurst  From Bridgeview To Dead End,2016,Fog Seal - City,Sealant,City,76.0,0.0,0.0,0.0,1334.242186817718,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,286.0954492056235
Preservation,18005,10,Flamingo Basin,Stoney Summit & Alder Creek Dr,Victory Palm,Flamingo Basin From Stoney Summit & Alder Creek Dr To Victory Palm,2016,Slurry Seal - City,Sealant,City,83.0,0.0,0.0,0.0,7441.243495507234,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,848.9141375266914
Preservation,18006,10,Victory Palm ,Flamingo Basin,Alder Creek Dr,Victory Palm  From Flamingo Basin To Alder Creek Dr,2016,Fog Seal - City,Sealant,City,90.0,0.0,0.0,0.0,3430.443288052213,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,685.6787592791246
Preservation,18043,9,Mt Marcy ,Mt Vieja,Sunflower,Mt Marcy  From Mt Vieja To Sunflower,2014,Fog Seal - City,Sealant,City,100.0,0.0,0.0,0.0,11191.196881669435,Change AP from 9 to 25,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,980.3387463918764
Preservation,18100,10,Lost Crk,Judson Rd,Oak Rock,Lost Crk From Judson Rd To Oak Rock,2017,Fog Seal - City,Sealant,City,70.0,0.0,0.0,0.0,3114.3386862536695,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,483.10572290400273
Preservation,18349,10,Winter Vw,Heritage Hill,Chimney Spgs,Winter Vw From Heritage Hill To Chimney Spgs,2016,Fog Seal - City,Sealant,City,74.0,0.0,0.0,0.0,1527.4384127755077,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,339.31126134230504
Preservation,18353,10,Lonesome Pine,Rocky Crk,Bear Run,Lonesome Pine From Rocky Crk To Bear Run,2014,Slurry Seal - City,Sealant,City,80.0,0.0,0.0,0.0,19824.38,AP Change to from 25 to 27,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1047.863150737813
Preservation,18431,2,Rene,N Weidner Rd,Overlook Dr,Rene From N Weidner Rd To Overlook Dr,2014,Slurry Seal - City,Sealant,City,70.0,0.0,0.0,0.0,14667.58,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,751.0016364117971
Preservation,18432,2,Jacques,N Weidner Rd,Overlook Dr,Jacques From N Weidner Rd To Overlook Dr,2014,Fog Seal - City,Sealant,City,85.0,0.0,0.0,0.0,9523.26,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,748.500519158604
Preservation,18433,2,Overlook Dr,Joe Lee,Sherri Ann Rd,Overlook Dr From Joe Lee To Sherri Ann Rd,2014,Slurry Seal - City,Sealant,City,73.0,0.0,0.0,0.0,32481.98,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1661.967511222563
Preservation,18434,2,Suddith,N Weidner Rd,Overlook Dr,Suddith From N Weidner Rd To Overlook Dr,2014,Slurry Seal - City,Sealant,City,80.0,0.0,0.0,0.0,14708.6,AP Change to from 25 to 27,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,752.8613907691804
Preservation,18455,6,Meadow Tree,Timber View Dr,Dead End,Meadow Tree From Timber View Dr To Dead End,2015,Fog Seal - City,Sealant,City,67.0,0.0,0.0,0.0,1570.0549354422665,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,160.74471491980788
Preservation,18458,6,Desert Morning,Windline,Sageline,Desert Morning From Windline To Sageline,2015,Crack Seal - City,Sealant,City,82.0,0.0,0.0,0.0,960.9974382370048,ApCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,729.8179701934139
Preservation,18459,6,Windline,Desert Morning,Woodline,Windline From Desert Morning To Woodline,2015,Crack Seal - City,Sealant,City,86.0,0.0,0.0,0.0,1515.7673326723773,ApCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1127.6371966118604
Preservation,18460,6,Meadow Post,Meadow Pass,Meadow Rain,Meadow Post From Meadow Pass To Meadow Rain,2015,Slurry Seal - City,Sealant,City,73.0,0.0,0.0,0.0,21318.077560017537,ApCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1064.2132759749934
Preservation,18461,6,Cactus Crk,Desert Morning,Cul-De-Sac,Cactus Crk From Desert Morning To Cul-De-Sac,2015,Fog Seal - City,Sealant,City,79.0,0.0,0.0,0.0,13967.312526752738,ApCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1107.3798512250603
Preservation,18464,6,Hayden Holw,Rim Line Dr,Cul-De-Sac,Hayden Holw From Rim Line Dr To Cul-De-Sac,2015,Fog Seal - City,Sealant,City,80.0,0.0,0.0,0.0,2958.7645780840003,ApCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,270.7303849777743
Preservation,18465,6,Sageline,Desert Morning,Cul-De-Sac,Sageline From Desert Morning To Cul-De-Sac,2015,Fog Seal - City,Sealant,City,77.0,0.0,0.0,0.0,12663.091142678571,ApCode Change,Not Available,Unknown,Not Available,2015-06-11,Unknown,Unknown,1064.6965474398455
Preservation,18466,6,Ridge Stone,Rim Line Dr,Rim Rock Trl,Ridge Stone From Rim Line Dr To Rim Rock Trl,2015,Slurry Seal - City,Sealant,City,74.0,0.0,0.0,0.0,18522.809597044903,ApCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,645.8208835710459
Preservation,18475,5,Commercial Ave,Flanders Ave,W Harlan Ave,Commercial Ave From Flanders Ave To W Harlan Ave,2014,Crack Seal - City,Sealant,City,87.0,0.0,0.0,0.0,1166.04,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,948.0552322857886
Preservation,18483,5,Commercial Ave,Division,Flanders Ave,Commercial Ave From Division To Flanders Ave,2014,Crack Seal - City,Sealant,City,87.0,0.0,0.0,0.0,2215.23,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1800.4221707889153
Preservation,18651,10,Peter Baque,Lorenz Rd,W Nottingham Dr,Peter Baque From Lorenz Rd To W Nottingham Dr,2015,Crack Seal - City,Sealant,City,84.0,0.0,0.0,0.0,1910.391278823091,APCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1077.3279710779034
Preservation,18662,8,Verbena Rd,Oakland Rd,Southwell Rd,Verbena Rd From Oakland Rd To Southwell Rd,2015,Fog Seal - City,Sealant,City,70.0,0.0,0.0,0.0,52741.85806042691,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,4843.723000063879
Preservation,22012,6,Dove Flight,Lark Crossing,Roundhill,Dove Flight From Lark Crossing To Roundhill,2017,Fog Seal - City,Sealant,City,85.0,5.0,0.0,0.0,5287.6120542378885,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1074.60220957362
Preservation,22020,10,Mesquite Smoke,Winding Hill & Smokey Way,Dead End Or Cul De Sac,Mesquite Smoke From Winding Hill & Smokey Way To Dead End Or Cul De Sac,2016,Fog Seal - City,Sealant,City,79.0,0.0,0.0,0.0,2032.40581810183,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,424.1852913803234
Preservation,22023,10,Misty Glen,Ross Oak,Dead End Or Cul De Sac,Misty Glen From Ross Oak To Dead End Or Cul De Sac,2017,Slurry Seal - City,Sealant,City,72.0,0.0,0.0,0.0,35500.61249589496,Ap Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,3555.810656712215
Preservation,22039,1,Angeles Dr,W Ridgewood Ct,Edison Dr,Angeles Dr From W Ridgewood Ct To Edison Dr,2016,Crack Seal - City,Sealant,City,89.0,0.0,0.0,0.0,4287.06120442028,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,2649.8083052271363
Preservation,22040,1,Anne Lewis,Grotto Blvd,Veda Mae,Anne Lewis From Grotto Blvd To Veda Mae,2014,Slurry Seal - City,Sealant,City,75.0,0.0,0.0,0.0,23347.065094694695,Defer2013,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1195.235560469687
Preservation,22041,1,Arroya Vista Dr,Blanco Rd,Green Meadow Blvd,Arroya Vista Dr From Blanco Rd To Green Meadow Blvd,2014,Fog Seal - City,Sealant,City,79.0,0.0,0.0,0.0,31763.37162565096,Defer2016,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,2878.4050119494345
Preservation,22045,1,Atlanta Ave,E Elmira St,E Laurel & Gillespie,Atlanta Ave From E Elmira St To E Laurel & Gillespie,2014,Slurry Seal - City,Sealant,City,74.0,0.0,0.0,0.0,14822.220349448464,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,875.4664614777209
Preservation,22046,1,Ave Del Rey,San Pedro Ave,Ave Maria Dr,Ave Del Rey From San Pedro Ave To Ave Maria Dr,2014,Crack Seal - City,Sealant,City,98.0,0.0,0.0,0.0,1239.3095676830922,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,974.1794432427222
Preservation,22047,7,Balcones Heights Rd,Fredericksburg Rd,Danville Dr,Balcones Heights Rd From Fredericksburg Rd To Danville Dr,2014,Crack Seal - City,Sealant,City,78.0,0.0,0.0,0.0,1162.628606610359,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,981.4890689142196
Preservation,22049,1,Bamburgh Dr,York Dr,Warwich Dr,Bamburgh Dr From York Dr To Warwich Dr,2016,Crack Seal - City,Sealant,City,86.0,0.0,0.0,0.0,1444.7791977906925,Defer2014,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,893.0615821684182
Preservation,22051,1,Basin,Mccullough Ave,Shannon Lee,Basin From Mccullough Ave To Shannon Lee,2017,Fog Seal - City,Sealant,City,71.0,0.0,0.0,0.0,14058.403699296889,Defer2017,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,3359.894907257026
Preservation,22052,1,Basse,Basse,Mccullough Ave,Basse From Basse To Mccullough Ave,2016,Crack Seal - City,Sealant,City,65.0,0.0,0.0,0.0,39418.631240968,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1039.0879230161845
Preservation,22053,1,Basse,Blanco Rd,Olympia,Basse From Blanco Rd To Olympia,2015,Crack Seal - City,Sealant,City,80.0,0.0,0.0,0.0,10084.779391372616,Defer2016,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,3640.6770858300983
Preservation,22054,1,Basse,Olympia,West Ave,Basse From Olympia To West Ave,2015,Crack Seal - City,Sealant,City,58.0,0.0,0.0,0.0,6090.687574204744,Defer2016,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,2175.4496590021627
Preservation,22055,1,Basse,Blanco Rd,Olympia,Basse From Blanco Rd To Olympia,2015,Crack Seal - City,Sealant,City,85.0,0.0,0.0,0.0,10111.456034250004,Defer2016,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,3659.981492595622
Preservation,22062,1,Belknap St,W Agarita Ave,W Hildebrand Ave,Belknap St From W Agarita Ave To W Hildebrand Ave,2015,Crack Seal - City,Sealant,City,82.0,0.0,0.0,0.0,3882.198576645808,Defer2013,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,3199.6710832258423
Preservation,22089,1,Burwood Ln,Breeden St & Melliff,Blanco Rd,Burwood Ln From Breeden St & Melliff To Blanco Rd,2014,Crack Seal - City,Sealant,City,86.0,0.0,0.0,0.0,2335.974786483584,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1972.1426029059508
Preservation,22091,1,Camargo,S Presa St,Barrera,Camargo From S Presa St To Barrera,2014,Fog Seal - City,Sealant,City,83.0,0.0,0.0,0.0,15747.181258856644,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1374.1764975783376
Preservation,22092,1,Camaron,N Santa Rosa,W Commerce St,Camaron From N Santa Rosa To W Commerce St,2016,Crack Seal - City,Sealant,City,76.0,0.0,0.0,0.0,3857.1830057569855,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,2382.978006885992
Preservation,22095,1,Canal,Callaghan Ave,Leigh St,Canal From Callaghan Ave To Leigh St,2014,Crack Seal - City,Sealant,City,98.0,0.0,0.0,0.0,232.27971919228753,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,212.53236999299375
Preservation,22096,1,Canal,Camargo,Callaghan Ave,Canal From Camargo To Callaghan Ave,2014,Fog Seal - City,Sealant,City,92.0,0.0,0.0,0.0,3876.307158247296,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,380.60204819837503
Preservation,22101,1,Cliffwood Dr,Neer Ave,West Ave,Cliffwood Dr From Neer Ave To West Ave,2015,Fog Seal - City,Sealant,City,76.0,0.0,0.0,0.0,21081.020626471447,Defer2014,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1861.502205897345
Preservation,22106,1,Colonial,Santa Barbara,Edison Dr,Colonial From Santa Barbara To Edison Dr,2016,Crack Seal - City,Sealant,City,90.0,0.0,0.0,0.0,2864.5209848940335,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1770.562687152759
Preservation,22107,1,Constance,Crofton,E Guenther St,Constance From Crofton To E Guenther St,2014,Crack Seal - City,Sealant,City,94.0,0.0,0.0,0.0,480.03850327199274,Defer2013,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,405.1789719614531
Preservation,22108,1,Crofton,E Guenther St,Constance,Crofton From E Guenther St To Constance,2014,Crack Seal - City,Sealant,City,100.0,0.0,0.0,0.0,1108.0449715994116,Defer2013,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,935.5290714478328
Preservation,22111,1,Devine St,S Presa St,Labor,Devine St From S Presa St To Labor,2014,Fog Seal - City,Sealant,City,81.0,0.0,0.0,0.0,17532.98032054159,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1343.205505574345
Preservation,22114,1,Dubies Dr,Dipper,Jackson-keller Rd,Dubies Dr From Dipper To Jackson-keller Rd,2014,Slurry Seal - City,Sealant,City,74.0,0.0,0.0,0.0,12929.736824194231,Defer2013,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,661.9549265563019
Preservation,22117,1,E Dewey Place,W Dewey Place & N Main Ave,N St Mary's,E Dewey Place From W Dewey Place & N Main Ave To N St Mary's,2014,Crack Seal - City,Sealant,City,94.0,0.0,0.0,0.0,2862.515485284466,Defer2015,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,2416.6130128884943
