SwProjectID,ProjectCategory,CouncilDistrict,ProjectStreet,FromStreet,ToStreet,SideOfStreet,EstTotalCost,FiscalYear,ScheduleStart,ScheduleFinish,ActualStart,ActualFinish,PercentComplete,ProjectType,ProjectManager,Contact,ProjectLength,SidewalkInstalledFeet,ProjectStatus,ProjectLimits,Shape_Length
1462,IMP,1,Trudell,Vance Jackson,West Ave,North Side,239796.01,2024,2024-06-10,2024-08-09,Not Available,Not Available,0.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,2569.61,2569.61,Planning,Trudell - North Side ( Vance Jackson To West Ave ) ,2569.6068505896264
1464,IMP,7,W Craig Place,N Elmendorf,N Zarzamora,Both Sides,143057.55,2024,2024-04-15,2024-07-22,2024-04-15,Not Available,75.0,Sidewalks,Emanuel Saldana,Keith Schoonmaker: 210-303-4800,1317.41,1317.41,Construction,W Craig Place - Both Sides ( N Elmendorf To N Zarzamora ) ,1317.4127297963678
1489,IMP,2,Silver Lake Dr,Manhattan,Longleaf,Both Sides,111899.08,2024,2023-11-01,2024-02-26,2023-11-06,2024-01-16,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,1788.0,1199.09,Completed,Silver Lake Dr - Both Sides ( Manhattan To Longleaf ) ,1197.080989158672
1498,IMP,3,S Pine St,Ada St,Bonnell Dr,Both Sides,123050.82,2024,2024-01-22,2024-03-30,2024-01-29,2024-03-14,100.0,Sidewalks,Amir Bahreini,Erick Wildestorm: 210-461-1540,1318.59,1318.59,Complete,S Pine St - Both Sides ( Ada St To Bonnell Dr ) ,1274.9495521587437
1524,IMP,5,N Spring,W Martin St,Perez St,Both Sides,147777.96,2024,2023-11-06,2023-12-21,2023-11-08,2023-12-08,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1360.88,1360.88,Completed,N Spring - Both Sides ( W Martin St To Perez St ) ,964.8787321544372
1539,IMP,3,Enfield,Harcourt Ave,Nash Blvd,East Side,83174.25,2024,2024-06-01,2024-06-30,Not Available,Not Available,0.0,Sidewalks,Amir Bahreini,Erick Wildestorm: 210-461-1540,891.28,891.28,Planning,Enfield - East Side ( Harcourt Ave To Nash Blvd ) ,891.2751135350104
1559,IMP,6,Perryton,Rich Quail,Levelland,East Side,21132.87,2024,2024-08-05,2024-08-16,Not Available,Not Available,0.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,259.49,259.49,Planning,Perryton - East Side ( Rich Quail To Levelland ) ,259.48793294629513
1576,IMP,8,Babcock Rd,Sunset Haven Dr,Spring Time Dr,West Side,70124.16,2024,2024-06-17,2024-07-05,Not Available,Not Available,0.0,Sidewalks,Amir Bahreini,Keith Schoonmaker: 210-303-4800,645.77,645.77,Planning,Babcock Rd - West Side ( Sunset Haven Dr To Spring Time Dr ) ,643.7550373945754
1578,IMP,10,Casa Pinto,Casa Oro,Casa Grande,West Side,76491.6,2024,2024-03-18,2024-04-24,2024-03-18,Not Available,99.0,Sidewalks,Kevin Guerrero,Erick Wildestorm: 210-461-1540,819.67,819.67,Construction,Casa Pinto - West Side ( Casa Oro To Casa Grande ) ,819.6660574334601
1582,IMP,10,Los Ranchitos,Palacio,Las Vegas,East Side,42512.49,2024,2024-12-31,2024-12-31,Not Available,Not Available,0.0,Sidewalks,Manuel Barrera,Erick Wildestorm: 210-461-1540,522.01,522.01,Cancelled,Los Ranchitos - East Side ( Palacio To Las Vegas ) ,522.0131132851654
1591,IMP,6,Havenbrook,Palmgrove,Grassfield,South Side,109969.09,2024,2024-04-11,2024-05-15,2024-04-15,Not Available,75.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1012.7,1012.7,Construction,Havenbrook - South Side ( Palmgrove To Grassfield ) ,1012.6960786581192
1595,IMP,6,Clearcrest,Timbercreek Dr,Singing Brook,East Side,122247.33,2024,2024-08-08,2024-09-30,Not Available,Not Available,0.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1309.98,1309.98,Planning,Clearcrest - East Side ( Timbercreek Dr To Singing Brook ) ,1309.976168288408
1609,IMP,6,Fairpoint,Cooks Pt,Galespoint,North Side,16617.49,2024,2024-07-01,2024-09-30,Not Available,Not Available,0.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,178.07,178.07,Planning,Fairpoint - North Side ( Cooks Pt To Galespoint ) ,178.06882159679063
1615,IMP,6,Ridge Post,Ridge Path,Ridgebrook,West Side,26065.69,2024,2024-07-29,2024-08-09,Not Available,Not Available,0.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,320.06,320.06,Planning,Ridge Post - West Side ( Ridge Path To Ridgebrook ) ,320.0639374300864
1625,IMP,5,Stains,Griggs Ave,Benrus,Both Sides,54551.77,2024,2024-06-01,2024-08-01,Not Available,Not Available,0.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,669.84,669.84,Planning,Stains - Both Sides ( Griggs Ave To Benrus ) ,669.8439364158563
1646,IMP,3,Sublett Dr,Bushick,Kellis Ave,Both Sides,208812.83,2024,2023-11-01,2024-01-30,2023-11-06,2023-12-21,100.0,Sidewalks,Amir Bahreini,Erick Wildestorm: 210-461-1540,2237.6,2237.6,Completed,Sublett Dr - Both Sides ( Bushick To Kellis Ave ) ,2237.601719546281
1673,IMP,5,Stoneside Dr,Cul-de-sac,Moonrise Dr,Both Sides,70897.07,2024,2024-02-01,2024-03-01,2024-02-02,2024-03-02,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,759.72,759.72,Completed,Stoneside Dr - Both Sides ( Cul-de-sac To Moonrise Dr ) ,759.7191596391698
1675,IMP,5,Fig,Griggs Ave,Dead End,Both Sides,166817.04,2024,2023-12-15,2024-02-17,2023-12-15,2024-03-01,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1536.21,1536.21,Complete,Fig - Both Sides ( Griggs Ave To Dead End ) ,1213.057136676365
1678,SW Repair,6,French Meadow,Bobtail,Grissom Rd,Both Sides,144000.0,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1914.36,1500.0,Planning,French Meadow - Both Sides ( Bobtail To Grissom Rd ) ,1914.358970773893
1723,IMP,4,Ebbtide Dr,Parallel Dr,Springvale Dr,Both Sides,286920.45,2024,2024-05-06,2024-08-28,Not Available,Not Available,1.0,Sidewalks,Emanuel Saldana,Keith Schoonmaker: 210-303-4800,3523.09,3523.09,Precon,Ebbtide Dr - Both Sides ( Parallel Dr To Springvale Dr ) ,3523.0862647785157
1726,IMP,7,Mcneel Rd,Anaconda,City Limits,East Side,96332.36,2024,2023-10-01,2024-04-16,2023-10-17,2024-04-04,100.0,Sidewalks,Emanuel Saldana,Keith Schoonmaker: 210-303-4800,887.12,887.12,Punchlists,Mcneel Rd - East Side ( Anaconda To City Limits ) ,874.2795892324161
1740,IMP,10,Middlebury Dr,Salisbury Dr,Nacogdoches Rd,East Side,226880.34,2024,2024-02-19,2024-05-09,2024-02-19,Not Available,100.0,Sidewalks,Kevin Guerrero,Erick Wildestorm: 210-461-1540,2089.33,2089.33,Completed,Middlebury Dr - East Side ( Salisbury Dr To Nacogdoches Rd ) ,2089.326208885451
1748,IMP,5,Brentwood Place,Thompson Place,W Jewell,Both Sides,325946.23,2024,2024-02-19,2024-05-31,2024-02-05,2024-04-22,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,3492.78,3492.78,Punchlists,Brentwood Place - Both Sides ( Thompson Place To W Jewell ) ,3482.586081245208
1803,SW Repair,5,W Houston St,N Calaveras,Dead End,Both Sides,38587.5,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,5288.51,858.0,Complete,W Houston St - Both Sides ( N Calaveras To Dead End ) ,5330.610725924242
1809,SW Repair,2,Nolan St,N New Braunfels Ave,N Gevers St,Both Sides,13965.0,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2563.27,285.0,Unknown,Nolan St - Both Sides ( N New Braunfels Ave To N Gevers St ) ,2643.637958194078
1813,SW Repair,2,Round Table,King Arthur,Midcrown Dr,Both Sides,17505.25,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,7948.69,357.0,Unknown,Round Table - Both Sides ( King Arthur To Midcrown Dr ) ,7948.687882079229
1815,SW Repair,3,Lasses,Quig,Abram,Both Sides,11843.76,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2436.1,244.0,Complete,Lasses - Both Sides ( Quig To Abram ) ,2436.103836763801
1817,SW Repair,3,Springview Dr,Cul-de-sac,Tee St,Both Sides,43686.0,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,5768.41,900.0,Complete,Springview Dr - Both Sides ( Cul-de-sac To Tee St ) ,5931.706284118563
1819,SW Repair,3,Treehouse Dr,Gittinger,Tee St,Both Sides,23056.5,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2372.92,475.0,Complete,Treehouse Dr - Both Sides ( Gittinger To Tee St ) ,2372.9235751104275
1820,SW Repair,4,Dartmoor Dr,Ray Ellison Blvd,Sw Loop 410 Access Rd,Both Sides,27240.65,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,4637.98,561.0,Construction,Dartmoor Dr - Both Sides ( Ray Ellison Blvd To Sw Loop 410 Access Rd ) ,4637.978876258078
1822,SW Repair,4,Whitecliff,Ray Ellison Blvd,Sw Loop 410 Access Rd,Both Sides,26056.27,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,4606.09,537.0,Unknown,Whitecliff - Both Sides ( Ray Ellison Blvd To Sw Loop 410 Access Rd ) ,4606.090201204232
1826,SW Repair,5,Taft Blvd,Nogalitos St,Dead End,Both Sides,56497.5,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,8093.91,1256.0,Complete,Taft Blvd - Both Sides ( Nogalitos St To Dead End ) ,8105.097210521807
1830,SW Repair,7,Chimneyhill,Lockridge,Wendover,Both Sides,12911.64,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1478.66,266.0,Unknown,Chimneyhill - Both Sides ( Lockridge To Wendover ) ,1478.6576602526068
1834,SW Repair,7,Kings Cross,Old Tezel Rd,Tezel Rd,Both Sides,20144.1,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,3037.69,415.0,Unknown,Kings Cross - Both Sides ( Old Tezel Rd To Tezel Rd ) ,3066.22101153967
1835,SW Repair,8,Spring Rose Dr,Spring Time Dr,Spring Trl,Both Sides,11892.3,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1995.38,245.0,Unknown,Spring Rose Dr - Both Sides ( Spring Time Dr To Spring Trl ) ,1995.3817163806536
1836,SW Repair,8,Forest Rock Dr,Crested Walk,Sage Trl,Both Sides,17561.77,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2535.51,362.0,Unknown,Forest Rock Dr - Both Sides ( Crested Walk To Sage Trl ) ,2604.1191658069793
1845,SW Repair,10,Eagle Nest Dr,Edgefield Dr,Baraeswood,Both Sides,37327.26,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,5393.23,901.0,Unknown,Eagle Nest Dr - Both Sides ( Edgefield Dr To Baraeswood ) ,5393.23254521871
1848,SW Repair,1,Executive Dr,Blanco Rd,Cul-de-sac,Both Sides,9028.44,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1063.1,186.0,Unknown,Executive Dr - Both Sides ( Blanco Rd To Cul-de-sac ) ,1316.4120328506826
1850,SW Repair,5,W Travis St,N Calaveras,Dead End,Both Sides,38250.0,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,5786.16,850.0,Complete,W Travis St - Both Sides ( N Calaveras To Dead End ) ,5717.098300163554
1852,SW Repair,2,Argonne Dr,Susanwood Dr,Carol Crest,Both Sides,20305.6,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2163.67,414.0,Unknown,Argonne Dr - Both Sides ( Susanwood Dr To Carol Crest ) ,2163.6735466591335
1853,SW Repair,2,Kay Ann Dr,Susanwood Dr,Carol Crest,Both Sides,20305.6,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2344.42,414.0,Unknown,Kay Ann Dr - Both Sides ( Susanwood Dr To Carol Crest ) ,2130.877924878965
1854,SW Repair,2,Belinda Lee,Susanwood Dr,Carol Crest,Both Sides,19756.8,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1488.78,403.0,Unknown,Belinda Lee - Both Sides ( Susanwood Dr To Carol Crest ) ,1488.782073626949
1856,SW Repair,3,Montrose,S Presa St,Groos Ave,Both Sides,284544.96,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2964.01,901.0,Unknown,Montrose - Both Sides ( S Presa St To Groos Ave ) ,2964.012377686002
1857,SW Repair,3,Ward Ave,S Presa St,Devoto Ave,Both Sides,13833.9,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2055.74,285.0,Construction,Ward Ave - Both Sides ( S Presa St To Devoto Ave ) ,2055.737701438004
1858,SW Repair,4,Ravenswood Dr,Dead End,Harrow Dr,Both Sides,17668.56,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2276.69,364.0,Construction,Ravenswood Dr - Both Sides ( Dead End To Harrow Dr ) ,2276.692528526826
1860,SW Repair,4,Charing Cross,Ravenswood Dr,Sw Loop 410 Access Rd,Both Sides,9101.25,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1377.15,188.0,Unknown,Charing Cross - Both Sides ( Ravenswood Dr To Sw Loop 410 Access Rd ) ,1377.154327652703
1861,SW Repair,4,Threadneedle,Ravenswood Dr,Sw Loop 410 Access Rd,Both Sides,9101.25,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1434.92,188.0,Unknown,Threadneedle - Both Sides ( Ravenswood Dr To Sw Loop 410 Access Rd ) ,1434.9221241283096
1863,SW Repair,6,Meadow Glade,Sw Loop 410 Access Rd,Meadow Knoll,Both Sides,36099.0,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,5370.72,802.0,Unknown,Meadow Glade - Both Sides ( Sw Loop 410 Access Rd To Meadow Knoll ) ,5370.722519155852
1865,SW Repair,7,Oldstead,Chesterhill,Fairburn,Both Sides,23609.86,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,3013.44,486.0,Unknown,Oldstead - Both Sides ( Chesterhill To Fairburn ) ,3013.443844356554
1869,SW Repair,9,Santa Fe Trail Dr,Adobe Crossing Dr,Queensland,Both Sides,27536.74,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,3573.64,567.0,Unknown,Santa Fe Trail Dr - Both Sides ( Adobe Crossing Dr To Queensland ) ,3481.141908251798
1872,SW Repair,1,Veradero,W Silver Sands,Cul-de-sac,Both Sides,27182.4,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1290.82,560.0,Unknown,Veradero - Both Sides ( W Silver Sands To Cul-de-sac ) ,1434.185482439289
1873,SW Repair,1,General Krueger Blvd,Olympia,Winewood Dr,Both Sides,43987.2,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,6004.65,916.0,Complete,General Krueger Blvd - Both Sides ( Olympia To Winewood Dr ) ,6004.650527080902
1874,SW Repair,8,Wilderness Creek Dr,George Rd,Cobble Grove,Both Sides,8373.15,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1072.46,173.0,Unknown,Wilderness Creek Dr - Both Sides ( George Rd To Cobble Grove ) ,1160.8911783773865
1875,SW Repair,1,Marchmont Ln,Rosehill Dr,Brookview Dr,Both Sides,21231.4,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,3063.94,437.0,Unknown,Marchmont Ln - Both Sides ( Rosehill Dr To Brookview Dr ) ,3063.940268186558
1877,SW Repair,2,Woodhill,Woodbrook,Stoneshire,Both Sides,14332.5,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1404.44,293.0,Complete,Woodhill - Both Sides ( Woodbrook To Stoneshire ) ,1404.4364382645597
1883,SW Repair,6,Millbank Dr,Callaghan Rd,Moortown Dr,Both Sides,18000.0,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,3599.91,400.0,Unknown,Millbank Dr - Both Sides ( Callaghan Rd To Moortown Dr ) ,3667.3554883617526
1887,SW Repair,3,E Mayfield,Boswell St,S Flores St,Both Sides,32133.48,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,3426.31,662.0,Construction,E Mayfield - Both Sides ( Boswell St To S Flores St ) ,3426.3111218592653
1908,IMP,7,Mcneel Rd,Erskine Place,Overbrook,Both Sides,220514.8,2024,2023-10-01,2024-02-08,2023-10-17,2024-01-05,100.0,Sidewalks,Emanuel Saldana,Keith Schoonmaker: 210-303-4800,2030.71,2030.71,Complete,Mcneel Rd - Both Sides ( Erskine Place To Overbrook ) ,2029.2242481760784
1909,IMP,7,Bradford,Camino Santa Maria,Hanover,Both Sides,203102.39,2024,2024-12-31,2024-12-31,Not Available,Not Available,0.0,Sidewalks,Manuel Barrera,Keith Schoonmaker: 210-303-4800,1870.36,1870.36,Pending Replacement,Bradford - Both Sides ( Camino Santa Maria To Hanover ) ,1859.9590257164289
1916,IMP,7,Notre Dame Dr,Stonegate Dr,Wake Forrest,Both Sides,138218.12,2024,2024-12-31,2024-12-31,Not Available,Not Available,0.0,Sidewalks,Manuel Barrera,Keith Schoonmaker: 210-303-4800,1481.12,1481.12,Pending Replacement,Notre Dame Dr - Both Sides ( Stonegate Dr To Wake Forrest ) ,1441.5570969147284
1929,IMP,1,Viewridge Dr,Northway,Arroya Vista Dr,Both Sides,170452.64,2024,2024-08-12,2024-09-20,Not Available,Not Available,0.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,1569.69,1569.69,Planning,Viewridge Dr - Both Sides ( Northway To Arroya Vista Dr ) ,1569.6857733575648
1948,IMP,2,Hub Ave,Honey Blvd,Dafoste,Both Sides,254962.8,2024,2023-10-16,2024-01-19,2023-10-16,2024-02-16,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,2347.94,2347.94,Construction,Hub Ave - Both Sides ( Honey Blvd To Dafoste ) ,2306.1714375018114
1970,IMP,7,Alexander Hamilton,Wild Cherry,Colleen,Both Sides,137893.36,2024,2024-01-03,2024-03-29,2024-01-29,2024-01-23,100.0,Sidewalks,Emanuel Saldana,Keith Schoonmaker: 210-303-4800,1477.64,1477.64,Complete,Alexander Hamilton - Both Sides ( Wild Cherry To Colleen ) ,1477.6397505620907
1992,IMP,7,Texas Ave,N General Mcmullen,Tulane,Both Sides,226682.71,2024,2023-10-01,2023-12-31,2023-10-23,2023-11-16,100.0,Sidewalks,Emanuel Saldana,Keith Schoonmaker: 210-303-4800,2087.51,2087.51,Completed,Texas Ave - Both Sides ( N General Mcmullen To Tulane ) ,2087.50831560811
2007,IMP,7,Desilu Dr,Ponderosa,Wurzbach Rd,West Side,98106.38,2024,2024-05-20,2024-06-14,Not Available,Not Available,0.0,Sidewalks,Emanuel Saldana,Keith Schoonmaker: 210-303-4800,1051.29,1051.29,Planning,Desilu Dr - West Side ( Ponderosa To Wurzbach Rd ) ,1051.2906447949574
2096,IMP,8,Brocks Gap,Big Meadows Ln,Cul-de-sac,Both Sides,89419.22,2024,2024-05-20,2024-06-29,Not Available,Not Available,0.0,Sidewalks,Amir Bahreini,Keith Schoonmaker: 210-303-4800,958.2,958.2,Planning,Brocks Gap - Both Sides ( Big Meadows Ln To Cul-de-sac ) ,958.202889528078
2121,IMP,8,Sandstone Dr,Huebner Rd,Orsinger Ln,Both Sides,217028.64,2024,2024-12-31,2024-12-31,Not Available,Not Available,0.0,Sidewalks,Manuel Barrera,Keith Schoonmaker: 210-303-4800,2664.89,2664.89,Canceled,Sandstone Dr - Both Sides ( Huebner Rd To Orsinger Ln ) ,2670.784969801605
2140,IMP,8,Milsa Dr,Heuermann Rd,Oak Dr,Both Sides,217315.22,2024,2024-12-31,2024-12-31,Not Available,Not Available,0.0,Sidewalks,Manuel Barrera,Keith Schoonmaker: 210-303-4800,2328.71,2328.71,Canceled,Milsa Dr - Both Sides ( Heuermann Rd To Oak Dr ) ,2328.7097469538576
2206,IMP,9,Deer Crest,Fox Tree Ln,Blanco Rd,South Side,64969.57,2024,2024-06-10,2024-06-28,Not Available,Not Available,0.0,Sidewalks,Justin Gawlik,Erick Wildestorm: 210-461-1540,797.76,797.76,Planning,Deer Crest - South Side ( Fox Tree Ln To Blanco Rd ) ,781.4813667877806
2253,IMP,9,Hardy Oak Blvd,Wilderness Oak,Heights Blvd,South Side,138799.74,2024,2024-05-27,2024-08-02,Not Available,Not Available,0.0,Sidewalks,Justin Gawlik,Erick Wildestorm: 210-461-1540,1278.2,1278.2,Planning,Hardy Oak Blvd - South Side ( Wilderness Oak To Heights Blvd ) ,1278.1991535848786
2284,IMP,1,W Hermosa,Melbourne St,Becky Renee,Both Sides,99066.66,2024,2024-05-12,2024-06-12,Not Available,Not Available,0.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,1000.0,912.3,Planning,W Hermosa - Both Sides ( Melbourne St To Becky Renee ) ,912.2956903255248
2312,IMP,10,Desert View Dr,Kimbro,Perrin Beitel,Both Sides,202586.59,2024,2024-04-08,2024-06-07,2024-04-08,Not Available,55.0,Sidewalks,Kevin Guerrero,Erick Wildestorm: 210-461-1540,1865.61,1865.61,Construction,Desert View Dr - Both Sides ( Kimbro To Perrin Beitel ) ,1872.460375025422
2447,IMP,2,Nellina,Hub Ave,Dafoste,Both Sides,104580.86,2024,2024-01-12,2024-03-31,2024-02-12,2024-02-26,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,963.08,963.08,Pending Final,Nellina - Both Sides ( Hub Ave To Dafoste ) ,963.0841831406796
2453,IMP,2,Hub Ave,Spriggsdale,Gay,Both Sides,165629.07,2024,2023-10-16,2024-01-19,2023-10-16,2024-02-16,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,3225.0,1525.27,Construction,Hub Ave - Both Sides ( Spriggsdale To Gay ) ,1525.2726991479926
2465,IMP,2,Astoria Dr,Upland Dr,Eastwood Dr,Both Sides,253379.66,2024,2023-11-13,2024-03-04,2023-11-06,2024-02-05,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,2715.17,2715.17,Pending Punchlist,Astoria Dr - Both Sides ( Upland Dr To Eastwood Dr ) ,2713.5161445658714
